,Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
0,Afghanistan,AFG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,8781610175.0,9762978844.0,10305228125.0,11721187594.0,12144482858.0,14697331941.0,15936800636.0,16911126453.0,19352203806.0,19731337261.0,19990317161.0
1,Albania,ALB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,8766856445.0,9268392518.0,9771760096.0,10348293942.0,11127520474.0,11500292411.0,11926953259.0,12231090568.0,12404772054.0,12542465022.0,12768229393.0
2,Angola,AGO,GDP (constant 2010 US$),NY.GDP.MKTP.KD,39087976314.0,46226007691.0,55811028115.0,68420444001.0,77874196512.0,79753199398.0,82470913121.0,85702615836.0,90120963241.0,96261432368.0,100886000000.0
3,Arab World,ARB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1609020000000.0,1700990000000.0,1811480000000.0,1894290000000.0,2004470000000.0,2013120000000.0,2109220000000.0,2184530000000.0,2297290000000.0,2381070000000.0,2450390000000.0
4,Argentina,ARG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,306489000000.0,333618000000.0,360465000000.0,392935000000.0,408877000000.0,384677000000.0,423627000000.0,449062000000.0,444453000000.0,455143000000.0,443707000000.0
5,Armenia,ARM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,6734033975.0,7667755682.0,8679746346.0,9873142201.0,10554389013.0,9060944166.0,9260284938.0,9695518330.0,10393595650.0,10736584306.0,11123101342.0
6,Australia,AUS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,962450000000.0,993283000000.0,1022860000000.0,1061220000000.0,1100460000000.0,1120400000000.0,1142880000000.0,1170000000000.0,1212520000000.0,1243680000000.0,1276130000000.0
7,Austria,AUT,GDP (constant 2010 US$),NY.GDP.MKTP.KD,358256000000.0,365926000000.0,378187000000.0,391883000000.0,397947000000.0,382828000000.0,390212000000.0,401169000000.0,404161000000.0,404663000000.0,407272000000.0
8,Bangladesh,BGD,GDP (constant 2010 US$),NY.GDP.MKTP.KD,80592852042.0,85860356478.0,91588846354.0,98053769823.0,103951000000.0,109195000000.0,115279000000.0,122731000000.0,130735000000.0,138597000000.0,146997000000.0
9,Belize,BLZ,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1199103461.0,1230025246.0,1286391895.0,1300597659.0,1342587389.0,1352161618.0,1397113450.0,1426508030.0,1481068378.0,1500530789.0,1561767961.0
