,Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
0,Afghanistan,AFG,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,0.383742856,0.609975301,0.964169781,1.287792643,1.531646932,2.300990369,2.463293515,2.290036916,2.211204172,2.340217032,2.397348601,2.252595017
1,Albania,ALB,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,9.670207822,11.66806544,13.76968007,18.48652355,23.28914326,23.72983753,23.81053625,23.84944128,23.85583415,23.33832823,21.953448100000003,21.92631899
2,Angola,AGO,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,2.0041552819999997,2.482357264,3.757058013,4.321089809,5.21178604,5.855446351,8.334850482,9.427912178,10.18058817,11.43549413,11.47644278,11.74908445
3,Arab World,ARB,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,8.778687251000001,8.769542767,10.51188835,9.950839713999999,10.48056416,10.78658909,10.77116888,10.91351063,10.97407574,10.32249529,11.41644789,10.97055497
4,Argentina,ARG,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,13.39991115,13.17815088,13.18194661,13.12219649,13.052516800000001,12.9167885,12.92963337,13.0400515,13.13703153,13.17432509,13.16768541,13.20883895
5,Armenia,ARM,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,10.79247479,12.23153792,13.58245249,15.66521109,17.11817445,17.54743011,18.25486853,19.48671242,20.58837749,20.88075521,21.676049399999997,22.20923864
6,Australia,AUS,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,30.67274532,30.63223568,31.24217971,31.67888051,31.57868548,31.23159723,30.7497793,30.36532513,30.21500833,29.53904106,29.17649107,28.72061416
7,Austria,AUT,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,13.93068147,13.32375506,13.03832013,12.88358263,12.58602451,11.76651469,11.28781211,15.10628522,15.98662845,15.56021349,14.85952515,13.8609601
8,Bangladesh,BGD,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,6.941277123,6.888927837000001,6.920320861,6.955732823,7.005030822,7.217129213,7.470900052,7.672721987,7.870271336,8.038251382999999,8.224125251,8.370654408
9,Belize,BLZ,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,25.69987329,25.44853035,23.42168513,26.34479421,26.96200431,26.02198858,25.14190672,24.29690822,23.52164217,24.10969473,23.37292565,21.01506904
10,Benin,BEN,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,0.936959106,1.079352688,1.597120923,1.975652552,2.366614429,2.72961177,2.9365153260000003,3.152334114,3.142820776,3.2154574830000002,3.3129244069999997,3.257553114
11,Bhutan,BTN,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,14.37446705,13.74922806,13.24310068,12.80254141,12.83470167,12.87469448,14.30285501,16.27124948,12.46569573,16.03343801,15.49214584,15.35285087
12,Bolivia,BOL,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,4.477602695,5.1011876780000005,5.729520008,5.915019672000001,6.283791533,6.90121425,8.598318218,9.298542695,9.710566099,11.48429623,15.05369882,15.32080735
13,Botswana,BWA,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,6.637732959,6.320933768,6.644749797,7.577742906,8.457550401,8.389758203,8.689372459,8.264121317,8.276815666000001,8.426311566,8.57051742,7.929631669
14,Brazil,BRA,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,16.96619708,18.19002382,18.08812062,18.15793094,18.79731782,18.70915699,18.21016973,18.75018384,20.02191738,20.22941426,21.04841074,20.67254561
15,Bulgaria,BGR,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,84.21787242,84.58661908,83.39393039,88.29307512,92.30452079,92.2784638,91.93114316,60.03512453,61.34468644,60.72502955,60.44295596,60.36281144
16,Burkina Faso,BFA,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,1.164196725,1.295034115,1.216540243,1.507439147,1.676863351,1.8335744459999999,1.94231723,2.114488091,2.160457032,2.340917074,18.33791077,2.7094253910000003
17,Burundi,BDI,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,1.4486276790000001,1.476323235,1.5915601330000002,1.696313275,1.731129165,1.880560141,2.094458177,2.286821578,2.4838161640000003,2.943002813,2.8724206039999998,2.900844437
18,Cabo Verde,CPV,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,16.08054254,16.26875991,18.10425417,21.18589661,25.72831527,28.22414883,31.182257300000003,30.63544993,34.37806044,34.26500156,33.89990636,33.86405222
19,Cameroon,CMR,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,0.469538391,0.980749667,1.059904451,1.104977446,1.191617995,1.281116894,1.656396437,1.703075897,1.802357386,1.925988676,1.948568531,18.21139794
