,Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],
90,Netherlands,NLD,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1.39818E+11,2.09981E+11,3.75136E+11,7.3401E+11,1.95192E+11,95931335754,1.1573E+11,3.31838E+11,2.39755E+11,3.28684E+11,1.01394E+11,2.86747E+12
133,United States,USA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2.07877E+11,1.38327E+11,2.94288E+11,3.40065E+11,3.32734E+11,1.53788E+11,2.59344E+11,2.5741E+11,2.43011E+11,2.76978E+11,2.07367E+11,2.71119E+12
14,Brazil,BRA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,18181190855,15459981604,19378093068,44579492464,50716402711,31480932200,88452079264,1.01158E+11,86606502981,69181422947,96894980842,6.22089E+11
44,Germany,DEU,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-20444719446,59855759874,87441737296,50845049519,30926055579,56668665258,86053684912,97480731020,65464274951,67407574807,16721265607,5.9842E+11
42,France,FRA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,35581202492,85179159787,78945704920,83780962091,67999194663,18380195793,38899924638,44191741840,32950453828,31589259642,-1048274594,5.1645E+11
106,Russian Federation,RUS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,15402990000,15508050000,37594770000,55873680000,74782910000,36583100000,43167780000,55083630000,50587560000,69218890000,22031320000,4.75835E+11
110,Singapore,SGP,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,24390314129,18090329984,36923890241,47733209770,12200705252,23821209700,55075864345,49155975338,56236647375,64684568049,73986661931,4.62299E+11
115,Spain,ESP,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,25176365229,26720350857,32989821047,73772822154,79557788103,13478740375,41020054117,31782139561,24915158981,52287690611,35775858957,4.37477E+11
58,Ireland,IRL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-10994234313,47028464779,22080936155,59941052660,23258563614,53935264225,37763638573,23664918435,40961642315,49960134752,86765614578,4.34366E+11
6,Australia,AUS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,42907672820,-25093141435,30551100657,44440090038,45160024271,28683266148,35210733743,65554890650,57550426823,53997299140,45978797620,4.24941E+11
117,Sub-Saharan Africa,SSF,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,12293344820,19596780333,16434306081,29979272159,38968346274,36372342473,30880194344,42423599639,40417030080,40957628612,46831083087,3.55154E+11
118,Sub-Saharan Africa (excluding high income),SSA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,12255329968,19516050594,16293750388,29803344528,38788520830,36204090811,30720398969,42280358974,39803821303,40900339547,46722776081,3.53289E+11
114,South Asia,SAS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,7477232653,10835965281,25539643966,32472490181,51156328359,39636706804,31562387498,40651615041,27771786000,33514678223,40312703980,3.40932E+11
82,Mexico,MEX,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,24916054094,26018159827,21147598685,32457165592,29381454305,18111810084,27262839557,24706234983,21060805585,47536863557,27507943844,3.00107E+11
55,India,IND,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,5429250990,7269407226,20029119267,25227740887,43406277076,35581372930,27396885034,36498654598,23995685014,28153031270,34576643694,2.87564E+11
84,Middle East & North Africa (excluding high income),MNA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,10521887306,18170935379,30379633372,33637747266,35606364313,29219598630,25932821028,16177488832,23011638880,24035321919,22769339267,2.69463E+11
60,Italy,ITA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,20086849958,36777786839,56964903121,65987320736,-9500316173,16574423268,9937474797,34443576600,34812127.56,19530574591,17028003372,2.67865E+11
123,Switzerland,CHE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,7102294153,2664910821,53760772986,48688296543,2990936685,47658570355,17670735603,20764483835,39943494322,-24926465857,20369335535,2.36687E+11
50,Heavily indebted poor countries (HIPC),HPC,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,7082357643,8155846696,10331562498,16085267536,19519737733,15910902798,21044721904,29624254922,33405769368,35089444751,33179156890,2.29429E+11
108,Saudi Arabia,SAU,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-334320000,12106749694,18317596796,24333811514,39455863929,36457666667,29232706667,16308280000,12182373333,8864693333,8011786667,2.04937E+11
7,Austria,AUT,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,3892054627,81287916302,10497447196,68885359636,6310797391,14293213431,-22005597161,22974390293,5219630177,451322440.3,1715068691,1.93522E+11
21,Chile,CHL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,6847694630,7525548374,7659148331,13562872054,18627398294,13966041793,16153354561,24373585096,30561690392,21092278857,24011458729,1.84381E+11
53,Hungary,HUN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,4538099567,8505362817,18678720025,70631297039,75013000490,-2967152013,-20933508134,10506179880,10618888829,-3772123439,12961326674,1.8378E+11
71,Least developed countries: UN classification,LDC,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,8837274715,5807140386,9125567610,12620075894,18631755293,15134456190,15471406935,21993467896,22236565278,23343067255,29508708738,1.82709E+11
104,Poland,POL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,13868000000,11041000000,21473000000,25031000000,14574000000,14025000000,18395000000,18485000000,7358000000,795000000,19776000000,1.64821E+11
122,Sweden,SWE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,16854649894,20782686616,22052656379,46143507533,41436553996,8960871621,625102142.5,6979353755,4273531542,1543757552,-8626915507,1.61026E+11
129,Turkey,TUR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2785000000,10031000000,20185000000,22047000000,19851000000,8585000000,9099000000,16182000000,13628000000,12896000000,12828000000,1.48117E+11
96,Norway,NOR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,4918494986,10058759830,11877923790,24806091103,20578219685,8635762892,21634265663,10296323076,26865986947,-275285355.2,6152385999,1.45549E+11
56,Indonesia,IDN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1896082770,8336257208,4914201435,6928480000,9318453650,4877369178,15292009411,20564938227,21200778608,23281742362,25120732060,1.41731E+11
74,Low income,LIC,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,3356699944,3290260974,3557619145,6655677858,8974019034,7328148924,11150675514,17258753880,19301209722,18976246646,17356104562,1.17205E+11
66,"Korea, Rep.",KOR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,13294400000,13643200000,9161900000,8826900000,11187500000,9021900000,9497400000,9773000000,9495900000,12766600000,9273600000,1.15942E+11
64,Kazakhstan,KAZ,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,5615262947,2546065710,7611168450,11972842989,16818890680,14275888207,7456117901,13760291529,13648134374,10011293285,7090689354,1.10807E+11
