,Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
0,Afghanistan,AFG,Internet users (per 100 people),IT.NET.USER.P2,0.10580903,1.224148084,2.107123645,1.9,1.84,3.55,4.0,5.0,5.454545455,5.9,7.0
1,Albania,ALB,Internet users (per 100 people),IT.NET.USER.P2,2.420387798,6.043890864,9.609991316,15.03611541,23.86,41.2,45.0,49.0,54.65595904,57.2,60.1
2,Angola,AGO,Internet users (per 100 people),IT.NET.USER.P2,0.46481461799999996,1.143366827,1.5,1.7,1.9,2.3,2.8,3.1,6.5,8.9,10.2
3,Arab World,ARB,Internet users (per 100 people),IT.NET.USER.P2,7.006812461,8.393141725,11.65464792,14.20590224,18.59353118,21.5453539,24.5357799,26.64546408,30.27449059,32.98467854,36.48301358
4,Argentina,ARG,Internet users (per 100 people),IT.NET.USER.P2,16.03668411,17.72058337,20.927202100000002,25.94663294,28.11262348,34.0,45.0,51.0,55.8,59.9,64.7
5,Armenia,ARM,Internet users (per 100 people),IT.NET.USER.P2,4.899008571,5.252983352,5.631787777,6.021253397000001,6.21,15.3,25.0,32.0,37.5,41.9,54.62280586
6,Australia,AUS,Internet users (per 100 people),IT.NET.USER.P2,17.65803592,63.0,66.0,69.45,71.67,74.25,76.0,79.48769771,79.0,83.45349717,84.0
7,Austria,AUT,Internet users (per 100 people),IT.NET.USER.P2,54.28,58.0,63.6,69.37,72.87,73.45,75.17,78.73999309999999,80.02999392,80.6188,80.99582496
8,Bangladesh,BGD,Internet users (per 100 people),IT.NET.USER.P2,0.19903633399999998,0.241637326,1.0,1.8,2.5,3.1,3.7,4.5,5.0,6.63,13.9
9,Belize,BLZ,Internet users (per 100 people),IT.NET.USER.P2,9.8,17.0,24.0,24.6,26.3,27.2,28.2,30.7,31.0,33.6,38.7
10,Benin,BEN,Internet users (per 100 people),IT.NET.USER.P2,1.182540965,1.2710314390000002,1.537854346,1.79,1.85,2.24,3.13,4.148323066000001,4.5,4.9,6.0
11,Bhutan,BTN,Internet users (per 100 people),IT.NET.USER.P2,3.1569841960000002,3.847106745,4.518317258,5.92,6.55,7.17,13.6,14.4,15.6,22.4,30.3
12,Bolivia,BOL,Internet users (per 100 people),IT.NET.USER.P2,4.439924601,5.227583957,6.200671255,10.49924432,12.5,16.8,22.4,30.0,35.34,36.99,34.6
13,Botswana,BWA,Internet users (per 100 people),IT.NET.USER.P2,3.3048892530000002,3.262554036,4.289932975,5.28,6.25,6.15,6.0,9.0,16.0,30.0,36.74474744
14,Brazil,BRA,Internet users (per 100 people),IT.NET.USER.P2,19.07367227,21.02274725,28.17838018,30.88,33.83,39.22,40.65,45.69,48.56,51.04,54.55100188
15,Bulgaria,BGR,Internet users (per 100 people),IT.NET.USER.P2,18.13,19.97,27.09,33.64,39.67,45.0,46.23,47.97999305,51.89998767,53.0615,55.49
16,Burkina Faso,BFA,Internet users (per 100 people),IT.NET.USER.P2,0.400295285,0.469914489,0.632707564,0.75,0.92,1.13,2.4,3.0,3.7250349160000003,9.1,9.4
