,Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
0,Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.89121951,58.51558537,59.12595122,59.70885366,60.25673171,60.76460976,61.23546341,61.6742439,62.09297561,62.50160976,62.90268293
1,Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.15709756,75.35702439,75.56124390000001,75.79492683,76.07265854,76.39487805,76.74790244,77.10846341,77.44826829,77.74709756,77.99839024
2,Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.63285366,52.78770732,53.92712195,55.0475122,56.13929268,57.181000000000004,58.14112195,58.9912439,59.71843902,60.3217561,60.80673171
3,Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.69853756,68.95180524,69.20331866,69.44569144,69.67163769999999,69.87929924,70.07136083,70.25569431,70.44067505,70.63137828,70.82758949
4,Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.51878049,74.68831707,74.85141463,75.01156098,75.17129268,75.33109756,75.49202439,75.65356098,75.8147561,75.97456098,76.134
5,Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.28473171,72.39878049,72.4912439,72.5932439,72.72590244,72.8987561,73.10929268,73.34597561,73.58621951,73.81192683,74.01958537
6,Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.4902439,80.84146341,81.04146341,81.29268293,81.39512195,81.54390244,81.69512195,81.89512195,82.04634146,82.14878049,82.3
7,Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.18048780000001,79.33170732,79.8804878,80.18048780000001,80.43170732,80.33170732,80.5804878,80.98292683,80.93658537,81.13658537,81.4902439
8,Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.46260976,67.94129268,68.41026829,68.87390244,69.33368293,69.79117073,70.24204878,70.68056098,71.10090244,71.4977561,71.87165854
9,Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.88482927,69.08536585,69.27597561,69.4434878,69.57970732,69.68356098,69.76202439,69.83017073,69.90865854,70.01307317,70.1475122
