,Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
0,Afghanistan,AFG,Scientific and technical journal articles,IP.JRN.ARTC.SC,6.8,8.4,10.2,13.0,12.7,21.5,29.3,43.2,35.0,26.5,26.5
1,Albania,ALB,Scientific and technical journal articles,IP.JRN.ARTC.SC,21.9,24.5,31.8,40.5,51.5,77.0,136.7,160.9,186.5,183.6,183.6
2,Angola,AGO,Scientific and technical journal articles,IP.JRN.ARTC.SC,7.2,8.9,13.6,10.9,10.7,14.0,15.7,17.8,21.8,22.6,22.6
3,Arab World,ARB,Scientific and technical journal articles,IP.JRN.ARTC.SC,11516.188320000001,12553.1503,14389.760069999998,16110.562919999998,18404.0,22131.7,24863.8,29042.9,32902.1,36106.1,36106.1
4,Argentina,ARG,Scientific and technical journal articles,IP.JRN.ARTC.SC,4641.3,4882.0,5334.5,5666.5,6276.5,7013.5,7420.0,7859.7,8073.1,8053.1,8053.1
5,Armenia,ARM,Scientific and technical journal articles,IP.JRN.ARTC.SC,328.9,375.2,358.4,391.2,387.6,432.3,488.8,612.6,558.7,558.5,558.5
6,Australia,AUS,Scientific and technical journal articles,IP.JRN.ARTC.SC,25971.5,29798.2,31934.6,34606.6,35847.1,37928.4,40078.9,42937.1,44488.9,47805.7,47805.7
7,Austria,AUT,Scientific and technical journal articles,IP.JRN.ARTC.SC,7977.5,8838.6,9061.0,9818.0,10209.8,10847.8,11042.9,11614.1,12001.0,12031.3,12031.3
8,Bangladesh,BGD,Scientific and technical journal articles,IP.JRN.ARTC.SC,486.2,561.6,688.0,959.8,1066.0,1239.9,1546.8,1585.6,2085.9,1970.6,1970.6
9,Belize,BLZ,Scientific and technical journal articles,IP.JRN.ARTC.SC,4.5,5.7,4.9,1.8,3.6,9.6,11.0,3.4,8.5,9.6,9.6
10,Benin,BEN,Scientific and technical journal articles,IP.JRN.ARTC.SC,61.7,59.0,83.5,90.0,94.3,125.5,111.3,147.2,159.0,187.1,187.1
11,Bhutan,BTN,Scientific and technical journal articles,IP.JRN.ARTC.SC,9.4,5.5,15.9,8.1,6.2,12.1,17.2,17.3,17.2,28.6,28.6
12,Bolivia,BOL,Scientific and technical journal articles,IP.JRN.ARTC.SC,45.0,59.9,69.9,79.7,96.6,86.2,78.9,85.8,85.1,89.4,89.4
13,Botswana,BWA,Scientific and technical journal articles,IP.JRN.ARTC.SC,120.2,105.1,178.1,138.5,150.3,135.9,149.5,165.7,154.5,165.3,165.3
14,Brazil,BRA,Scientific and technical journal articles,IP.JRN.ARTC.SC,18861.9,21420.4,27507.1,30174.1,34534.4,37811.7,40530.5,43218.6,47302.1,48622.2,48622.2
15,Bulgaria,BGR,Scientific and technical journal articles,IP.JRN.ARTC.SC,1603.0,1905.1,1777.5,2371.6,2269.4,2453.0,2505.1,2434.3,2678.8,2677.3,2677.3
16,Burkina Faso,BFA,Scientific and technical journal articles,IP.JRN.ARTC.SC,72.7,74.9,106.8,115.9,122.4,140.5,134.1,168.5,214.8,177.0,177.0
17,Burundi,BDI,Scientific and technical journal articles,IP.JRN.ARTC.SC,4.0,2.8,4.3,5.5,2.5,3.5,12.8,9.0,10.8,16.3,16.3
18,Cabo Verde,CPV,Scientific and technical journal articles,IP.JRN.ARTC.SC,0.3,0.4,4.1,1.2,2.1,4.9,3.1,2.4,4.0,8.0,8.0
