,Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
0,Afghanistan,AFG,Time required to start a business (days),IC.REG.DURS,9.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,5.0,7.0
1,Albania,ALB,Time required to start a business (days),IC.REG.DURS,39.0,40.0,38.0,36.0,9.0,6.0,6.0,5.5,4.5,4.5,4.5
2,Angola,AGO,Time required to start a business (days),IC.REG.DURS,83.0,83.0,83.0,83.0,68.0,68.0,66.0,66.0,66.0,66.0,66.0
3,Arab World,ARB,Time required to start a business (days),IC.REG.DURS,41.875,39.5,38.27777778,31.7,20.2,19.65,19.675,19.125,20.73809524,19.47619048,18.66666667
4,Argentina,ARG,Time required to start a business (days),IC.REG.DURS,30.0,30.0,30.0,30.0,30.5,25.5,25.0,25.0,25.0,25.0,25.0
5,Armenia,ARM,Time required to start a business (days),IC.REG.DURS,18.0,18.0,17.0,17.0,17.0,14.0,14.0,8.0,8.0,4.0,3.0
6,Australia,AUS,Time required to start a business (days),IC.REG.DURS,3.0,3.0,3.0,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5
7,Austria,AUT,Time required to start a business (days),IC.REG.DURS,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,22.0
8,Bangladesh,BGD,Time required to start a business (days),IC.REG.DURS,51.5,51.5,43.5,67.5,66.5,43.5,26.5,26.5,26.5,21.8,19.5
9,Belize,BLZ,Time required to start a business (days),IC.REG.DURS,47.77269403,57.0,44.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
10,Benin,BEN,Time required to start a business (days),IC.REG.DURS,34.0,34.0,34.0,34.0,34.0,34.0,34.0,32.0,29.0,18.0,12.0
11,Bhutan,BTN,Time required to start a business (days),IC.REG.DURS,62.0,62.0,62.0,48.0,46.0,46.0,46.0,36.0,36.0,32.0,17.0
