Country Name, Year,mobile cellular subscriptions
Afghanistan,2004,2.498055472
Afghanistan,2005,4.826865367
Afghanistan,2006,9.833164022
Afghanistan,2007,17.71624331
Afghanistan,2008,29.22037376
Afghanistan,2009,37.89493697
Afghanistan,2010,45.77817474
Afghanistan,2011,60.32631999
Afghanistan,2012,65.45219346
Afghanistan,2013,70.66135885
Afghanistan,2014,74.88284241
Albania,2004,39.16395669
Albania,2005,47.87802749
Albania,2006,60.06734238
Albania,2007,73.35038415
Albania,2008,58.91235149
Albania,2009,78.1845877
Albania,2010,85.46824699999998
Albania,2011,98.29153459
Albania,2012,110.68653159999998
Albania,2013,116.1572081
Albania,2014,105.46996570000002
Angola,2004,4.63174063
Angola,2005,9.738161173
Angola,2006,17.83989624
Angola,2007,28.01098233
Angola,2008,36.98368954
Angola,2009,42.84657348
Angola,2010,48.10120904
Angola,2011,59.82618856
Angola,2012,61.40627578
Angola,2013,61.87329711
Angola,2014,63.4792082
Arab World,2004,16.83769437
Arab World,2005,26.79003996
Arab World,2006,38.84567204
Arab World,2007,52.5371804
Arab World,2008,62.92096882
Arab World,2009,76.15636661
Arab World,2010,87.62881811
Arab World,2011,98.87331388
Arab World,2012,105.0371746
Arab World,2013,110.0126103
Arab World,2014,109.1522643
Argentina,2004,35.27228837
Argentina,2005,57.32899426
Argentina,2006,80.81882641
Argentina,2007,102.7215283
Argentina,2008,117.2211834
Argentina,2009,131.1294492
Argentina,2010,141.383022
Argentina,2011,149.09062240000003
Argentina,2012,156.56475600000005
Argentina,2013,162.5274217
Argentina,2014,158.73576200000005
Armenia,2004,6.719510372999999
Armenia,2005,10.54901346
Armenia,2006,41.95135986
Armenia,2007,62.7586975
Armenia,2008,48.43008603
Armenia,2009,73.83377008
Armenia,2010,130.4322327
Armenia,2011,108.336201
Armenia,2012,111.9146632
Armenia,2013,112.4206552
Armenia,2014,115.9232102
Australia,2004,81.50958522
Australia,2005,89.76286231
Australia,2006,94.70140374
Australia,2007,100.0646043
Australia,2008,102.1940537
Australia,2009,100.7390114
Australia,2010,100.4263074
Australia,2011,104.610551
Australia,2012,105.585695
Australia,2013,106.84349740000002
Australia,2014,131.23054679999998
Austria,2004,97.54481697
Austria,2005,105.1755856
Austria,2006,112.124675
Austria,2007,119.2569828
Austria,2008,129.65515159999998
Austria,2009,136.57901
Austria,2010,145.6928199
Austria,2011,154.426039
Austria,2012,160.5397387
Austria,2013,156.2304116
Austria,2014,151.9112515
Bangladesh,2004,1.969454675
Bangladesh,2005,6.28776238
Bangladesh,2006,13.20573922
Bangladesh,2007,23.46762823
Bangladesh,2008,30.16828408
Bangladesh,2009,34.35334451
Bangladesh,2010,44.94535882
Bangladesh,2011,55.19256723
Bangladesh,2012,62.82023906
Bangladesh,2013,74.42964608
Bangladesh,2014,75.92489163
Belize,2004,28.29761545
Belize,2005,35.30450132
Belize,2006,42.2961808
Belize,2007,41.34020042
Belize,2008,54.51721037
Belize,2009,53.74564807
Belize,2010,62.93070205
Belize,2011,70.31965347
Belize,2012,53.20712214
Belize,2013,52.61072612
Belize,2014,50.712566
Benin,2004,5.797473517999999
Benin,2005,7.28722342
Benin,2006,12.50317546
Benin,2007,23.56334604
Benin,2008,40.40173435
Benin,2009,54.46885832
Benin,2010,74.39604921
Benin,2011,79.40049868
Benin,2012,83.65431589
Benin,2013,93.25782193
Benin,2014,101.7110697
Bhutan,2004,3.019121524
Bhutan,2005,5.53491068
Bhutan,2006,12.33202317
Bhutan,2007,21.99686472
Bhutan,2008,36.61427504
Bhutan,2009,48.10756491
Bhutan,2010,54.99993723
Bhutan,2011,66.37918152
Bhutan,2012,75.6097824
Bhutan,2013,72.19831102
Bhutan,2014,82.07006186
Bolivia,2004,19.60018982
Bolivia,2005,25.88431131
Bolivia,2006,30.21985533
Bolivia,2007,33.63225131
Bolivia,2008,51.23601575
Bolivia,2009,64.68655431
Bolivia,2010,70.68598048
Bolivia,2011,80.90771949
Bolivia,2012,90.44349501
Bolivia,2013,97.69945273
Bolivia,2014,96.33724828
Botswana,2004,28.18941102
Botswana,2005,30.05546952
Botswana,2006,43.41214719
Botswana,2007,60.13830503
Botswana,2008,76.83593118
Botswana,2009,96.02329234
Botswana,2010,120.0102471
Botswana,2011,145.9838697
Botswana,2012,153.7856491
Botswana,2013,160.6410528
Botswana,2014,167.2975939
Brazil,2004,35.65289881
Brazil,2005,46.31418452
