,Country Name, Year,GDP(constant 2010 US$),co2 emissions,commercial bank branches,foreign direct investment net inflows,internetUsers,labor force,life expectancy,mobile cellular subscriptions,technical articles,time required to start a business,unemployment rate
0,Afghanistan,2004,8781610175.0,0.108152489,0.383742856,186900000.0,0.10580903,6478539.0,57.89121951,2.498055472,6.8,9.0,8.5
1,Afghanistan,2005,9762978844.0,0.135968132,0.609975301,271000000.0,1.224148084,6795212.0,58.51558537,4.826865367,8.4,9.0,8.5
2,Afghanistan,2006,10305228125.0,0.16012746,0.964169781,238000000.0,2.107123645,6982165.0,59.12595122,9.833164022,10.2,9.0,8.800000191
3,Afghanistan,2007,11721187594.0,0.19396839999999999,1.287792643,188690000.0,1.9,7139660.0,59.70885366,17.71624331,13.0,9.0,8.399999618999999
4,Afghanistan,2008,12144482858.0,0.34633413799999996,1.531646932,46033740.0,1.84,7292595.0,60.25673171,29.22037376,12.7,9.0,8.899999618999999
5,Afghanistan,2009,14697331941.0,0.46057897,2.300990369,197512727.5,3.55,7474251.0,60.76460976,37.89493697,21.5,7.0,8.100000381000001
6,Afghanistan,2010,15936800636.0,0.531062425,2.463293515,54200551.0,4.0,7707349.0,61.23546341,45.77817474,29.3,7.0,8.699999809
7,Afghanistan,2011,16911126453.0,0.723810211,2.290036916,57620844.0,5.0,8050184.0,61.6742439,60.32631999,43.2,7.0,8.899999618999999
8,Afghanistan,2012,19352203806.0,0.555766729,2.211204172,47226787.51,5.454545455,8458402.0,62.09297561,65.45219346,35.0,7.0,8.5
9,Afghanistan,2013,19731337261.0,0.507546796,2.340217032,37638586.0,5.9,8916157.0,62.50160976,70.66135885,26.5,5.0,9.199999809
10,Afghanistan,2014,19990317161.0,0.490698818,2.397348601,43510167.3,7.0,9397624.0,62.90268293,74.88284241,26.5,7.0,9.100000381000001
11,Albania,2004,8766856445.0,0.475165987,9.670207822,341285112.5,2.420387798,1302765.0,75.15709756,39.16395669,21.9,39.0,12.60000038
12,Albania,2005,9268392518.0,0.458949056,11.66806544,262479012.6,6.043890864,1284116.0,75.35702439,47.87802749,24.5,40.0,12.5
13,Albania,2006,9771760096.0,0.398906744,13.76968007,325138316.8,9.609991316,1270016.0,75.56124390000002,60.06734238,31.8,38.0,12.39999962
14,Albania,2007,10348293942.0,0.379517341,18.48652355,652275603.7,15.03611541,1254859.0,75.79492683,73.35038415,40.5,36.0,13.5
15,Albania,2008,11127520474.0,0.39314517600000004,23.28914326,1240972849.0,23.86,1239840.0,76.07265854,58.91235149,51.5,9.0,13.0
16,Albania,2009,11500292411.0,0.38072058,23.72983753,1343091150.0,41.2,1225724.0,76.39487805,78.1845877,77.0,6.0,13.80000019
17,Albania,2010,11926953259.0,0.38554842100000003,23.81053625,1089416366.0,45.0,1216574.0,76.74790244,85.46824699999998,136.7,6.0,14.19999981
18,Albania,2011,12231090568.0,0.428428109,23.84944128,1049425306.0,49.0,1209673.0,77.10846341,98.29153459,160.9,5.5,14.0
19,Albania,2012,12404772054.0,0.395824525,23.85583415,920080650.1,54.65595904,1202142.0,77.44826829,110.68653159999998,186.5,4.5,13.89999962
20,Albania,2013,12542465022.0,0.40375851100000004,23.33832823,1253783309.0,57.2,1193017.0,77.74709756,116.1572081,183.6,4.5,16.0
21,Albania,2014,12768229393.0,0.44774046799999995,21.95344810000001,1149384241.0,60.1,1182427.0,77.99839024,105.46996570000002,183.6,4.5,16.10000038
22,Angola,2004,39087976314.0,0.48079682700000004,2.0041552819999997,2197227820.0,0.46481461799999996,6902459.0,51.63285366,4.63174063,7.2,83.0,6.900000095
23,Angola,2005,46226007691.0,0.41440758,2.482357264,-1303836930.0,1.143366827,7120373.0,52.78770732,9.738161173,8.9,83.0,6.8000001910000005
24,Angola,2006,55811028115.0,0.39895384,3.757058013,-37714860.0,1.5,7320251.0,53.92712195,17.83989624,13.6,83.0,6.8000001910000005
25,Angola,2007,68420444001.0,0.367608737,4.321089809,-893342152.0,1.7,7525025.0,55.0475122,28.01098233,10.9,83.0,6.699999809
26,Angola,2008,77874196512.0,0.330139355,5.21178604,1678971010.0,1.9,7767322.0,56.13929268,36.98368954,10.7,68.0,6.8000001910000005
27,Angola,2009,79753199398.0,0.34847746799999996,5.855446351,2205298180.0,2.3,8073712.0,57.181000000000004,42.84657348,14.0,68.0,6.900000095
28,Angola,2010,82470913121.0,0.352334016,8.334850482,-3227211182.0,2.8,8394741.0,58.14112195,48.10120904,15.7,66.0,6.900000095
29,Angola,2011,85702615836.0,0.35402371,9.427912178,-3023770966.0,3.1,8697734.0,58.9912439,59.82618856,17.8,66.0,6.900000095
30,Angola,2012,90120963241.0,0.370602297,10.18058817,-6897954559.0,6.5,9020219.0,59.71843902,61.40627578,21.8,66.0,6.900000095
31,Angola,2013,96261432368.0,0.33884770000000003,11.43549413,-7120017424.0,8.9,9359059.0,60.3217561,61.87329711,22.6,66.0,6.900000095
32,Angola,2014,100886000000.0,0.344577654,11.47644278,1921699719.0,10.2,9720079.0,60.80673171,63.4792082,22.6,66.0,6.8000001910000005
33,Arab World,2004,1609020000000.0,0.778463094,8.778687251000001,21263905251.0,7.006812461,95013514.0,68.69853756,16.83769437,11516.188320000001,41.875,13.2736272
34,Arab World,2005,1700990000000.0,0.775045069,8.769542767,46007410075.0,8.393141725,98398064.0,68.95180524,26.79003996,12553.1503,39.5,12.21995647
35,Arab World,2006,1811480000000.0,0.7628806579999999,10.51188835,69410959613.0,11.65464792,100895201.0,69.20331866,38.84567204,14389.760069999998,38.27777778,11.3989498
36,Arab World,2007,1894290000000.0,0.717869051,9.950839713999999,81832690758.0,14.20590224,104904478.0,69.44569144,52.5371804,16110.562919999995,31.7,10.96983093
37,Arab World,2008,2004470000000.0,0.744323033,10.48056416,88751293580.0,18.59353118,108675547.0,69.67163769999999,62.92096882,18404.0,20.2,10.57001615
38,Arab World,2009,2013120000000.0,0.785510134,10.78658909,76654441612.0,21.5453539,112134034.0,69.87929924,76.15636661,22131.7,19.65,10.38122219
39,Arab World,2010,2109220000000.0,0.7801725890000001,10.77116888,70001827709.0,24.5357799,116182200.0,70.07136083,87.62881811,24863.8,19.675,10.40438864
40,Arab World,2011,2184530000000.0,0.757969067,10.91351063,44416940145.0,26.64546408,119451590.0,70.25569431,98.87331388,29042.9,19.125,11.39960562
41,Arab World,2012,2297290000000.0,0.782211157,10.97407574,48700236583.0,30.27449059,122745301.0,70.44067505,105.0371746,32902.1,20.73809524,11.50566864
42,Arab World,2013,2381070000000.0,0.745504754,10.32249529,45799686531.0,32.98467854,126271217.0,70.63137828,110.01261029999999,36106.1,19.47619048,11.4136812
43,Arab World,2014,2450390000000.0,0.773633151,11.41644789,45667491506.0,36.48301358,129253735.0,70.82758949,109.1522643,36106.1,18.66666667,8.410880994
44,Argentina,2004,306489000000.0,0.514176202,13.39991115,4124710000.0,16.03668411,17523093.0,74.51878049,35.27228837,4641.3,30.0,12.60000038
45,Argentina,2005,333618000000.0,0.485916781,13.17815088,5265250000.0,17.72058337,17785280.0,74.68831707,57.32899426,4882.0,30.0,10.60000038
46,Argentina,2006,360465000000.0,0.486695169,13.18194661,5537340000.0,20.927202100000002,18010680.0,74.85141463,80.81882641,5334.5,30.0,10.10000038
47,Argentina,2007,392935000000.0,0.445815394,13.12219649,6473150000.0,25.94663294,18074237.0,75.01156098,102.72152829999999,5666.5,30.0,8.5
48,Argentina,2008,408877000000.0,0.462504098,13.052516800000001,9725560000.0,28.11262348,18145797.0,75.17129268,117.2211834,6276.5,30.5,7.800000191
49,Argentina,2009,384677000000.0,0.467825073,12.9167885,4017158925.0,34.0,18472750.0,75.33109756,131.1294492,7013.5,25.5,8.600000381000001
50,Argentina,2010,423627000000.0,0.443595179,12.92963337,11332718626.0,45.0,18478554.0,75.49202439,141.383022,7420.0,25.0,7.699999808999999
51,Argentina,2011,449062000000.0,0.426742488,13.0400515,10839930945.0,51.0,18592982.0,75.65356098,149.09062240000003,7859.7,25.0,7.199999809
52,Argentina,2012,444453000000.0,0.432793453,13.13703153,15323933917.0,55.8,18887510.0,75.8147561,156.56475600000005,8073.1,25.0,7.199999809
53,Argentina,2013,455143000000.0,0.417125085,13.17432509,9821661858.0,59.9,19220374.0,75.97456098,162.5274217,8053.1,25.0,7.099999905
54,Argentina,2014,443707000000.0,0.459818105,13.16768541,5065335542.0,64.7,19542348.0,76.134,158.73576200000005,8053.1,25.0,8.199999809
55,Armenia,2004,6734033975.0,0.541280013,10.79247479,247140608.5,4.899008571,1340518.0,72.28473171,6.719510372999999,328.9,18.0,33.59999847
56,Armenia,2005,7667755682.0,0.5676666260000001,12.23153792,292073220.2,5.252983352,1349111.0,72.39878049,10.54901346,375.2,18.0,27.79999924
57,Armenia,2006,8679746346.0,0.504860952,13.58245249,466531991.9,5.631787777,1353064.0,72.4912439,41.95135986,358.4,17.0,28.60000038
58,Armenia,2007,9873142201.0,0.512919484,15.66521109,667671562.1,6.021253397000001,1356386.0,72.5932439,62.7586975,391.2,17.0,28.39999962
59,Armenia,2008,10554389013.0,0.52671661,17.11817445,943733059.5,6.21,1363391.0,72.72590244,48.43008603,387.6,17.0,16.39999962
60,Armenia,2009,9060944166.0,0.48119301,17.54743011,760040745.9,15.3,1376394.0,72.8987561,73.83377008,432.3,14.0,18.70000076
61,Armenia,2010,9260284938.0,0.455390955,18.25486853,529321391.6,25.0,1427010.0,73.10929268,130.43223270000001,488.8,14.0,19.0
62,Armenia,2011,9695518330.0,0.507187634,19.48671242,653219756.5,32.0,1460214.0,73.34597561,108.336201,612.6,8.0,18.39999962
63,Armenia,2012,10393595650.0,0.547919237,20.58837749,496636701.1,37.5,1455333.0,73.58621951,111.91466319999999,558.7,8.0,17.29999924
64,Armenia,2013,10736584306.0,0.511972229,20.88075521,346092394.4,41.9,1464171.0,73.81192683,112.42065520000001,558.5,4.0,16.20000076
65,Armenia,2014,11123101342.0,0.497148756,21.676049399999997,404344951.1,54.62280586,1471158.0,74.01958537,115.9232102,558.5,3.0,17.10000038
66,Australia,2004,962450000000.0,0.35606991600000004,30.67274532,42907672820.0,17.65803592,10242433.0,80.4902439,81.50958522,25971.5,3.0,5.400000095
67,Australia,2005,993283000000.0,0.35254101299999996,30.63223568,-25093141435.0,63.0,10552172.0,80.84146341,89.76286231,29798.2,3.0,5.0
68,Australia,2006,1022860000000.0,0.357180646,31.24217971,30551100657.0,66.0,10801785.0,81.04146341,94.70140374,31934.6,3.0,4.8000001910000005
69,Australia,2007,1061220000000.0,0.350626007,31.67888051,44440090038.0,69.45,10970722.0,81.29268293,100.0646043,34606.6,3.0,4.400000095
70,Australia,2008,1100460000000.0,0.35067431299999996,31.57868548,45160024271.0,71.67,11257550.0,81.39512195,102.1940537,35847.1,2.5,4.199999809
71,Australia,2009,1120400000000.0,0.35236691,31.23159723,28683266148.0,74.25,11489734.0,81.54390244,100.73901140000001,37928.4,2.5,5.599999905
72,Australia,2010,1142880000000.0,0.341998256,30.7497793,35210733743.0,76.0,11693952.0,81.69512195,100.4263074,40078.9,2.5,5.199999809
73,Australia,2011,1170000000000.0,0.334889368,30.36532513,65554890650.0,79.48769771,11868407.0,81.89512195,104.610551,42937.1,2.5,5.099999905
74,Australia,2012,1212520000000.0,0.320099995,30.21500833,57550426823.0,79.0,12023138.0,82.04634146,105.585695,44488.9,2.5,5.199999809
75,Australia,2013,1243680000000.0,0.299327648,29.53904106,53997299140.0,83.45349717,12192397.0,82.14878049,106.84349740000002,47805.7,2.5,5.699999809
76,Australia,2014,1276130000000.0,0.283091981,29.17649107,45978797620.0,84.0,12338969.0,82.3,131.23054679999998,47805.7,2.5,6.0
77,Austria,2004,358256000000.0,0.202062666,13.93068147,3892054627.0,54.28,3998012.0,79.18048780000002,97.54481697,7977.5,25.0,4.900000095
78,Austria,2005,365926000000.0,0.202818341,13.32375506,81287916302.0,58.0,4076456.0,79.33170732,105.17558559999999,8838.6,25.0,5.199999809
79,Austria,2006,378187000000.0,0.190812678,13.03832013,10497447196.0,63.6,4153660.0,79.8804878,112.124675,9061.0,25.0,4.699999809
80,Austria,2007,391883000000.0,0.177949302,12.88358263,68885359636.0,69.37,4239270.0,80.18048780000002,119.2569828,9818.0,25.0,4.400000095
81,Austria,2008,397947000000.0,0.173459452,12.58602451,6310797391.0,72.87,4277580.0,80.43170732,129.65515159999998,10209.8,25.0,3.799999952
82,Austria,2009,382828000000.0,0.16386291,11.76651469,14293213431.0,73.45,4313061.0,80.33170732,136.57901,10847.8,25.0,4.8000001910000005
83,Austria,2010,390212000000.0,0.17298842399999995,11.28781211,-22005597161.0,75.17,4316715.0,80.5804878,145.6928199,11042.9,25.0,4.400000095
84,Austria,2011,401169000000.0,0.162075271,15.10628522,22974390293.0,78.73999309999998,4350847.0,80.98292683,154.426039,11614.1,25.0,4.099999905
