Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Afghanistan,AFG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,8781610175,9762978844,10305228125,11721187594,12144482858,14697331941,15936800636,16911126453,19352203806,19731337261,19990317161
Albania,ALB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,8766856445,9268392518,9771760096,10348293942,11127520474,11500292411,11926953259,12231090568,12404772054,12542465022,12768229393
Algeria,DZA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1.34317E+11,1.42252E+11,1.44648E+11,1.49527E+11,1.53056E+11,1.55554E+11,1.61207E+11,1.65869E+11,1.71467E+11,1.76212E+11,1.82889E+11
American Samoa,ASM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,631823788.5,629286343.6,603066079.3,614907489,598837004.4,573462555.1,576000000,577691630,552317180.6,534555066.1,542167400.9
Andorra,AND,GDP (constant 2010 US$),NY.GDP.MKTP.KD,3562932178,3842255533,4018434883,4021570844,3675946750,3535599617,3346516556,3185794241,3129723933,3127736111,2.54617E+12
Angola,AGO,GDP (constant 2010 US$),NY.GDP.MKTP.KD,39087976314,46226007691,55811028115,68420444001,77874196512,79753199398,82470913121,85702615836,90120963241,96261432368,1.00886E+11
Antigua and Barbuda,ATG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1070851866,1138179361,1283922782,1403194258,1403863251,1234900517,1147942222,1127700867,1170976047,1168633021,1222422784
Arab World,ARB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1.60902E+12,1.70099E+12,1.81148E+12,1.89429E+12,2.00447E+12,2.01312E+12,2.10922E+12,2.18453E+12,2.29729E+12,2.38107E+12,2.45039E+12
Argentina,ARG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,3.06489E+11,3.33618E+11,3.60465E+11,3.92935E+11,4.08877E+11,3.84677E+11,4.23627E+11,4.49062E+11,4.44453E+11,4.55143E+11,4.43707E+11
Armenia,ARM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,6734033975,7667755682,8679746346,9873142201,10554389013,9060944166,9260284938,9695518330,10393595650,10736584306,11123101342
Australia,AUS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,9.6245E+11,9.93283E+11,1.02286E+12,1.06122E+12,1.10046E+12,1.1204E+12,1.14288E+12,1.17E+12,1.21252E+12,1.24368E+12,1.27613E+12
Austria,AUT,GDP (constant 2010 US$),NY.GDP.MKTP.KD,3.58256E+11,3.65926E+11,3.78187E+11,3.91883E+11,3.97947E+11,3.82828E+11,3.90212E+11,4.01169E+11,4.04161E+11,4.04663E+11,4.07272E+11
Azerbaijan,AZE,GDP (constant 2010 US$),NY.GDP.MKTP.KD,19581710093,24751281716,33290473787,41629404407,46113899019,50453518393,52902703376,52937578302,54102205125,57238335961,58383102680
"Bahamas, The",BHS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,7739929850,8002723121,8204140766,8322815484,8129378906,7789496094,7910000000,7958407552,8203535156,8204565104,8161307292
Bahrain,BHR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,18376546950,19620444334,20889606053,22621864900,24034629396,24645054296,25713271277,26223377132,27202099524,28675502255,29922841391
Bangladesh,BGD,GDP (constant 2010 US$),NY.GDP.MKTP.KD,80592852042,85860356478,91588846354,98053769823,1.03951E+11,1.09195E+11,1.15279E+11,1.22731E+11,1.30735E+11,1.38597E+11,1.46997E+11
