Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Afghanistan,AFG,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.108152489,0.135968132,0.16012746,0.1939684,0.346334138,0.46057897,0.531062425,0.723810211,0.555766729,0.507546796,0.490698818
Albania,ALB,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.475165987,0.458949056,0.398906744,0.379517341,0.393145176,0.38072058,0.385548421,0.428428109,0.395824525,0.403758511,0.447740468
Algeria,DZA,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.658967549,0.754141655,0.698729128,0.731673905,0.7200505,0.780433442,0.739281181,0.730618103,0.758092907,0.763085821,0.795017388
Andorra,AND,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.157468897,0.149838811,0.135969106,0.134039414,0.146642222,0.146240258,0.154503046,0.154240344,0.155831955,0.152413753,0.508558369
Angola,AGO,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.480796827,0.41440758,0.39895384,0.367608737,0.330139355,0.348477468,0.352334016,0.35402371,0.370602297,0.3388477,0.344577654
Antigua and Barbuda,ATG,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.393803301,0.376952012,0.345586982,0.33450536,0.342182189,0.412756326,0.456800865,0.455244839,0.447815309,0.448713146,0.434968169
Arab World,ARB,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.778463094,0.775045069,0.762880658,0.717869051,0.744323033,0.785510134,0.780172589,0.757969067,0.782211157,0.745504754,0.773633151
Argentina,ARG,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.514176202,0.485916781,0.486695169,0.445815394,0.462504098,0.467825073,0.443595179,0.426742488,0.432793453,0.417125085,0.459818105
Armenia,ARM,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.541280013,0.567666626,0.504860952,0.512919484,0.52671661,0.48119301,0.455390955,0.507187634,0.547919237,0.511972229,0.497148756
Australia,AUS,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.356069916,0.352541013,0.357180646,0.350626007,0.350674313,0.35236691,0.341998256,0.334889368,0.320099995,0.299327648,0.283091981
Austria,AUT,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.202062666,0.202818341,0.190812678,0.177949302,0.173459452,0.16386291,0.172988424,0.162075271,0.154079764,0.154414186,0.144159919
Azerbaijan,AZE,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,1.638769895,1.38731353,1.176529576,0.732881972,0.769917417,0.632322601,0.579897057,0.631814074,0.657186374,0.622716216,0.642099157
"Bahamas, The",BHS,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.222675145,0.217654038,0.202924114,0.2031148,0.184040628,0.210901447,0.209079267,0.234532221,0.240040295,0.341466972,0.296098764
Bahrain,BHR,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.952840871,0.978965903,0.901407377,1.186732708,1.23857562,1.144958524,1.13817984,1.092546961,0.980577178,1.091960403,1.047299673
