Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Afghanistan,AFG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,186900000,271000000,238000000,188690000,46033740,197512727.5,54200551,57620844,47226787.51,37638586,43510167.3
Albania,ALB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,341285112.5,262479012.6,325138316.8,652275603.7,1240972849,1343091150,1089416366,1049425306,920080650.1,1253783309,1149384241
Angola,AGO,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2197227820,-1303836930,-37714860,-893342152,1678971010,2205298180,-3227211182,-3023770966,-6897954559,-7120017424,1921699719
Antigua and Barbuda,ATG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,80366585.19,220963374.1,358820163.7,338204733.3,158783774.4,80646652.59,96679207.78,65160596.3,129367138.9,134288999.6,154773333.3
Arab World,ARB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,21263905251,46007410075,69410959613,81832690758,88751293580,76654441612,70001827709,44416940145,48700236583,45799686531,45667491506
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,4124710000,5265250000,5537340000,6473150000,9725560000,4017158925,11332718626,10839930945,15323933917,9821661858,5065335542
Armenia,ARM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,247140608.5,292073220.2,466531991.9,667671562.1,943733059.5,760040745.9,529321391.6,653219756.5,496636701.1,346092394.4,404344951.1
Aruba,ABW,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-105698324,-207798005.9,220316139.7,-471005586.6,18882681.56,-10614525.14,186759776.5,488156424.6,-314692737.4,229888268.2,246759776.5
Australia,AUS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,42907672820,-25093141435,30551100657,44440090038,45160024271,28683266148,35210733743,65554890650,57550426823,53997299140,45978797620
Austria,AUT,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,3892054627,81287916302,10497447196,68885359636,6310797391,14293213431,-22005597161,22974390293,5219630177,451322440.3,1715068691
"Bahamas, The",BHS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,273600000,563414700,706380000,713350000,860156197,663960000,871970000,666621000,526171000,382252000,251277428.8
Bahrain,BHR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,865308118.6,1048601306,2914659868,1756312515,1793998355,257149561.4,155771009.2,780851063.8,891223404.3,988829787.2,957712766
Bangladesh,BGD,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,448905400.7,760504265.8,456523167.7,651029738.1,1328422987,901286583.1,1232258247,1264725163,1584403460,2602962095,2539190940
Barbados,BRB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-12100000,238261395.9,342244377.2,451704577,462037883.8,458155604.1,668827625.3,387635239.9,437173278.3,-8083630.026,485583034.8
Belarus,BLR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,163800000,306600000,357100000,1807300000,2187900000,1876500000,1393400000,4002400000,1463600000,2246100000,1862000000
Belize,BLZ,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,111496166.4,126908465.9,108828544.6,140373737.3,169668449.5,108840086.4,96449877.08,95348525.19,194201408.8,92247730.94,141097030.3
Benin,BEN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-40701529.97,-8785364.695,-12352499.85,139006086.8,48016408.32,-18732013.56,53454932.99,161091309,281564661.1,360240965.3,405197656
Bhutan,BTN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,8859907.539,6210884.354,6122702.143,73855769.76,3144001.019,18299707.23,75274009.03,31141614.86,24380673.57,20433631.07,28951712.78
Bolivia,BOL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,65430000,-238620000,280763457,366294241.5,512335605.2,423040000,621997989.5,858941070.4,1059965391,1749612614,656566350.8
