Country Name,Country Code,Series,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Albania,ALB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.170170069,3.237910032,3.157939911,3.267560005,4.500403836,4.793528644,4.745758496,4.571856565,4.617425036,3.539439917,4.707730148
Andorra,AND,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,1.532539964,1.600250006,2.193989992,2.07404995,2.934570074,3.163870096,3.065799952,3.158890009,4.617425036,2.462579966,2.997809887
Argentina,ARG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.487349987,3.843760014,4.110429764,4.442689896,4.842909813,5.521890163,4.994830132,5.264110088,5.321450233,5.4176898,5.325489998
Armenia,ARM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.484060049,2.715509892,2.711879969,3.018249989,3.171149969,3.842809916,3.249190092,3.142139912,2.770179987,2.64763999,2.246599913
Aruba,ABW,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.408899784,4.680759907,4.431743082,4.799180031,4.915589809,5.924670219,6.712490082,6.036870003,6.549059868,6.808060169,6.162930012
Australia,AUS,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.326874836,4.912280083,4.742730141,4.646319866,4.627190113,5.086410046,5.555230141,5.098340034,4.899909973,5.285840034,5.22533989
Austria,AUT,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.310060024,5.271669865,5.26237011,5.183000088,5.2957201,5.77120018,5.71780014,5.612699986,5.508979797,5.562739849,5.499549866
Azerbaijan,AZE,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.447659969,2.974620104,2.555510044,2.549279928,2.44092989,3.224309921,2.780620098,2.435640097,2.096299887,2.462179899,2.634660006
Bangladesh,BGD,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,1.941930056,4.465470235,2.131659985,2.203759909,2.053819895,1.938439965,4.745758496,2.131469965,2.175100088,1.957260013,4.707730148
Barbados,BRB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.904059887,5.556930065,4.431743082,5.11634016,5.061079979,5.327420235,5.875840187,4.571856565,5.62322998,5.479249954,6.573299885
Belarus,BLR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.711319923,5.868060112,6.074440002,5.150259972,4.500403836,4.531300068,5.425839901,4.846399784,5.124499798,5.176829815,4.990439892
