Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Albania,ALB,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,32,26,36,53,53,46,46,46,46,46,125538.9988
Algeria,DZA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,1945,1471,1429,1429,1562,1184,1281,1248,1248,1248,928
Armenia,ARM,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,678,654.136,354,125967.3091,354,128438.3272,346,346,346,346,786.1
Australia,AUS,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,42300,46164,46486.44012,60126.18339,61019,62083,64172,59649,59649,59649,59649
Austria,AUT,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,19027,17060,19525.9,18995.9,18710,20202,23104,16899,21683,15134,20673.75
Azerbaijan,AZE,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,7551,110074.3762,11059,10374,10021,7582,8250,7846,8212,7958.3,7370.9
Bangladesh,BGD,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,895.499,896,817,817,870,128438.3272,710,710,710,710,710
Belarus,BLR,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,40331,43559,45723,47933,47933,42742,46224,49406,48351,43818,44997
Belgium,BEL,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,8725,9157,9835,9357,7882,5472,5439,5439,5439,5220,5439
Bosnia and Herzegovina,BIH,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,612,1173,1090,1148,1237,988,1227,1294,1325,1238.3,1310.22
Brazil,BRA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,202533,221211,232300,257400,267700,267700,267700,267700,267700,267700,267700
Bulgaria,BGR,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,5212,5166,5227,5242,4673,3152,3061,3291,2850,2590.7,2572.3
Cameroon,CMR,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,1052,1119,1136,1055,978,978,978,1057,1057,1056.96,1056
Canada,CAN,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,254605.1536,338661,352069,353227,358154,258280,322741,254069,352535,352535,352535
Central Europe and the Baltics,CEB,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,9675,9767,10152,9331,9004,6465,7669,7290,7262,6810,6888
Chile,CHL,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,3898,5783,3660,3957,4296,4032,4032,4032,4032,4032,4032
China,CHN,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,1828548,1934612,2055716,2211246,2511804,2523917,2451185,2562635,2518310,2473477,2308669
"Congo, Dem. Rep.",COD,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,491,444,342,331,352,182,193,158,170,174,148
"Congo, Rep.",COG,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,231,263.9,234.2,125967.3091,234,128438.3272,122287.625,257,257,257,125538.9988
Croatia,HRV,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,2493,2835,3305,3574,3312,2641,2618,2438,2332,2086,2119
Czech Republic,CZE,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,16214,14385,16306,16972,15961,11249,13592,13872,11423,10588,9871
East Asia & Pacific,EAS,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,106230.0683,4367.5,6958.25,125967.3091,6325.5,128438.3272,122287.625,8581,8581,8812.5,8365
East Asia & Pacific (IDA & IBRD countries),TEA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,3383.5,3482.5,4072.5,125967.3091,4150,128438.3272,122287.625,5633.5,5562.5,5449.5,5708.95
"Egypt, Arab Rep.",EGY,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,4188,3917,3917,3917,4188,3840,3840,1592,1592,1592.136,1592
