Country Name,Country Code,Series,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Albania,ALB,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,10.8480196,11.37541008,11.55125046,11.99888039,12.23213959,12.45481968,13.28637028,14.17967987,14.98416042,15.50646019,15.80047989
Arab World,ARB,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,10.12516499,10.42708302,10.49715996,10.56621456,10.67816639,10.78051949,10.92488766,11.06948185,11.34316635,11.33933449,11.37792301
Argentina,ARG,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,16.34407997,16.0970993,16.28417969,16.30158043,16.4713192,16.78288078,17.06236076,17.23823929,17.28993034,17.13619041,17.28681946
Aruba,ABW,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.99458981,13.16353989,13.3986702,13.84832954,13.37448978,13.53759003,13.4792099,13.25562,13.69027996,14.09953858,14.38965079
Australia,AUS,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,20.3282795,20.26676941,18.99983978,19.10692978,19.13851929,19.45399094,19.77275085,20.07755089,20.34877014,20.43272018,20.46863937
Austria,AUT,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.92444038,15.04487038,15.18869972,15.10793018,15.27882957,15.38208008,15.65242004,15.66357994,15.72953987,15.88609028,15.91222954
Bahrain,BHR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.71563379,12.80420971,12.93453979,13.19833133,13.18471495,13.29808107,13.60591236,14.65962982,14.33135986,14.41899967,14.46278
Belgium,BEL,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.70361996,15.74409008,15.8409996,15.8372097,15.82503986,15.94717979,16.05027008,16.21870995,16.29829025,19.60357094,19.90726089
Belize,BLZ,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.85021973,12.31035995,12.82470989,12.77381992,12.71158028,12.44256973,12.43340015,12.51189041,12.9095602,12.76906967,14.38965079
Bhutan,BTN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.71563379,9.623789787,10.07246971,10.4782896,10.85962009,11.42961025,11.90624046,12.30757046,12.63358021,12.51543999,14.38965079
Brazil,BRA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,13.85000992,13.77737045,12.91122721,13.32022953,13.80420971,13.78225994,13.60591236,13.93064976,13.93780994,15.00454998,15.27282047
Brunei Darussalam,BRN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.08740997,14.27492046,14.32411957,14.17850018,14.06931019,14.1895504,14.1281004,14.37032986,14.93305969,14.97243977,14.94486046
Bulgaria,BGR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,13.45341015,13.49454021,13.52497959,13.80381012,13.84348011,13.93624973,14.21372032,14.32402992,14.39297962,14.8221302,15.04036999
Burkina Faso,BFA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.71563379,4.655280113,4.932059765,5.39139986,5.863100052,6.28302002,6.703390121,7.151050091,7.454750061,7.703690052,14.38965079
Burundi,BDI,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,5.594590187,5.902780056,7.240059853,7.894040108,13.18471495,9.305689812,9.894900322,10.32752037,10.45629978,10.64743042,10.89523983
Cabo Verde,CPV,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.10859966,11.20897007,11.90721035,11.90079021,12.19423008,12.36746979,12.73600006,13.12685966,13.19097042,13.60682964,13.49588013
Cameroon,CMR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,8.254300117,8.215979576,7.998980045,8.759539604,9.200530052,9.669369698,13.60591236,10.44064045,11.05747986,14.09953858,11.79461002
Chile,CHL,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.58623981,14.90225029,14.82310963,15.22014046,15.31015968,15.24769974,15.4165802,15.54596996,15.57215023,16.21162033,16.3355999
Colombia,COL,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.29839039,12.85319996,13.2883997,13.61357021,13.88967991,14.30058956,14.30181026,14.41493034,14.10713005,14.49557972,14.3810997
Croatia,HRV,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.71563379,13.94721985,14.25981998,14.31966019,14.21504021,14.22321033,14.48421001,14.62689018,14.86133003,15.21590996,15.25955009
Cuba,CUB,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.23099041,14.71481037,15.99479961,17.07807922,17.67070961,17.55611038,16.47184944,15.69250965,14.67265034,13.97554016,13.98770046
Cyprus,CYP,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,13.49674988,13.44655037,13.53201962,13.71588993,14.06836987,14.57304001,13.84634018,13.79706001,13.78989029,14.0009203,14.25613022
Czech Republic,CZE,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.63136005,14.86841965,15.02589035,15.31735992,15.48616028,15.86266041,16.04219055,16.10597038,16.11932945,16.66596985,16.81403923
Denmark,DNK,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,16.64393044,16.89085007,16.73814964,16.82729912,16.75756073,16.79759026,16.94541931,18.4222908,18.69408035,19.17675018,19.18880081
East Asia & Pacific,EAS,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.14506435,11.36348534,11.52544212,11.87968063,12.09799194,12.32936001,12.58398819,12.8044548,13.03202724,13.26790619,13.37454987
East Asia & Pacific (excluding high income),EAP,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,10.76202297,10.98159122,11.1589241,11.54262924,11.78849316,12.04257774,12.31944942,12.54744434,12.78616524,13.03679848,13.14913654
El Salvador,SLV,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.65843964,12.89097977,12.8852396,13.44995975,12.83520985,12.86112976,12.9966898,13.1568203,13.24013042,13.38551998,13.16993046
Estonia,EST,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.8741703,16.12070084,16.06504059,16.11381912,16.10420036,16.18156052,16.39879036,16.50270081,16.54262924,16.5027504,16.36436081
Ethiopia,ETH,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,5.753079891,6.576429844,12.91122721,13.19833133,8.120329857,8.120949745,8.190500259,8.353280067,8.439849854,14.09953858,14.38965079
Euro area,EMU,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.91252613,16.15282631,16.26147079,16.29018784,16.35354805,16.39459419,16.53001022,16.68725777,16.72519112,16.91790581,16.98837471
Europe & Central Asia,ECS,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.29106712,14.44816017,14.54893589,14.63325405,14.69004917,14.76991367,15.01043797,15.15136051,15.22673512,15.79284859,15.84181881
Europe & Central Asia (excluding high income),ECA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.71977711,12.83100033,13.01392555,13.18037224,13.23268223,13.33385277,13.65354156,13.90666485,14.03574753,14.61352253,14.66204929
European Union,EUU,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.72252941,15.93418312,15.9570179,15.98664474,16.08193779,16.16043663,16.31690979,16.33646393,16.34721565,16.89209557,16.97046852
Finland,FIN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,17.05999947,17.17016983,17.15591049,17.10457993,17.04488945,16.7982502,16.91146088,17.01466942,17.04792023,19.26984978,19.25259018
France,FRA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.49184036,16.10518074,16.10363007,16.08090973,16.0494709,16.01230049,16.10263062,16.10865974,16.15756989,16.16041946,16.2650795
Georgia,GEO,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.18811035,12.56256962,12.52756023,13.13733006,12.80988979,13.27882957,13.60591236,13.57464749,13.67457888,14.50102997,14.9204998
Ghana,GHA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,8.083539963,8.712260246,9.113630295,9.791560173,10.39785004,10.50041962,13.60591236,11.21313953,11.50370979,11.70425987,11.38564968
Greece,GRC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.63088989,16.30487061,16.42260933,15.94157982,13.18471495,13.29808107,16.70457077,16.82110977,17.07041931,17.23727036,17.77998924
Guinea,GIN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,6.618619919,7.134860039,7.612020016,13.19833133,8.122119904,13.29808107,13.60591236,8.504469872,8.482170105,14.09953858,8.815270424
Guyana,GUY,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.71563379,11.65703011,12.91122721,10.73857975,10.51249027,10.2400198,10.27958965,10.55453014,10.34576988,14.09953858,14.38965079
Heavily indebted poor countries (HIPC),HPC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,7.36527586,7.648850441,7.950116158,8.233187675,8.599982262,8.73261261,8.841049194,8.990763664,9.081144333,9.151299477,9.231233597
High income,HIC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.62965012,15.77118015,15.77587032,15.85404968,15.92827988,16.01637077,16.17066956,16.25974083,16.29849052,16.55109024,16.60397911
Hungary,HUN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.97496986,15.17387962,15.26900959,15.26391983,15.28337955,15.2528801,15.36588001,15.37207985,15.43511963,15.79166985,15.59517956
Iceland,ISL,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,17.90770912,18.0822506,18.22513008,18.18091965,18.40078926,18.38080978,18.63166046,18.68741989,18.99422073,19.6319294,14.38965079
Indonesia,IDN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.06400013,10.93575954,10.98248959,11.66166973,11.66271019,12.12425041,12.3164196,12.5735302,12.86583996,12.90202999,12.86765957
"Iran, Islamic Rep.",IRN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.42823982,11.43922043,11.84177017,12.11931038,12.77754974,12.94674969,13.1337204,13.62959957,15.01473045,14.89949036,14.82423973
Ireland,IRL,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,17.51153946,17.55145073,17.63253021,17.91732979,17.93078995,18.16153908,18.45204926,18.4549408,18.57920074,14.09953858,18.99662018
Israel,ISR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.78833961,15.74921989,15.64997005,15.77206993,15.57468033,15.68173981,13.60591236,15.94083977,15.91226006,15.96331978,15.99798012
Italy,ITA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.79646969,15.96304035,16.14740944,16.25287056,16.34227943,16.37924004,16.39756966,16.64351082,16.46212006,16.25827026,16.41843033
Japan,JPN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.86474037,14.92339039,15.04201031,15.04004002,15.01768017,15.0637598,15.13704014,15.26535034,15.32563972,15.34047985,15.35871029
Jordan,JOR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,13.76869965,13.69816017,13.64729023,13.59442043,13.63644028,13.29808107,12.83600998,12.60095024,12.7632103,14.09953858,14.38965079
"Korea, Rep.",KOR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,16.45273972,16.7369709,16.7581501,16.81922913,16.73946953,16.67284966,16.71014977,16.77228928,16.67292976,16.58975029,16.57991028
Kyrgyz Republic,KGZ,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.41242027,12.46798992,12.58775997,12.55451012,13.18471495,12.35319042,12.27773952,12.21644974,12.59759998,12.91483021,13.08835983
Lao PDR,LAO,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,8.744350433,8.960539818,9.042329788,9.202989578,9.359640121,9.64068985,9.851209641,10.23692989,10.36130047,10.60612011,10.8294096
Latin America & Caribbean,LCN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,13.01224804,13.08725262,13.14087677,13.23403072,13.4678545,13.5564785,13.7123251,13.80347919,13.8317318,14.23558998,14.23414516
Latin America & Caribbean (excluding high income),LAC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.94861221,13.02192497,13.07788944,13.16230488,13.40123558,13.49461842,13.65519142,13.74665546,13.78038025,14.18380737,14.17314816
Latvia,LVA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.90386009,16.17067909,16.21516991,16.25560951,16.42502975,16.03179932,15.74967957,15.53944016,15.42444038,15.97410965,16.05435944
Least developed countries: UN classification,LDC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,7.55892849,7.773606777,8.045438766,8.251124382,8.532420158,8.732958794,8.859530449,9.101433754,9.179096222,9.273757935,9.327103615
Lebanon,LBN,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,13.70252037,13.24116039,12.88834,13.05377007,13.16199017,13.32301998,13.22015953,13.28785992,12.49981022,12.23381996,11.45734978
Lesotho,LSO,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.71563379,10.68822956,10.6880703,13.19833133,13.18471495,13.29808107,13.60591236,13.57464749,11.12681961,10.78816986,10.7417202
Liechtenstein,LIE,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.46243,12.7003943,14.46555042,14.42228985,14.65060997,14.48534966,14.51568985,14.84086037,15.02554035,14.09953858,14.6351099
Lithuania,LTU,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,16.24515915,16.43261909,16.45017052,16.51950073,16.62881088,16.8085804,16.73291016,16.5026207,16.39896011,16.49069023,16.52305984
Low & middle income,LMY,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,9.888468742,10.08516884,10.25011635,10.47359371,10.68620872,10.81052208,11.05361462,11.30239868,11.46596718,11.60088921,11.64188194
Low income,LIC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,7.433680058,7.707980156,8.032529831,8.294309616,8.639149666,8.775670052,8.886449814,9.046170235,9.103899956,9.162210464,9.172499657
Lower middle income,LMC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,9.377269745,9.567970276,9.711139679,9.924639702,10.07542992,10.16131973,10.4202404,10.76391983,10.99825001,11.09829998,11.16271019
"Macao SAR, China",MAC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,15.6087904,15.37569046,15.23943043,14.84270954,14.20503044,14.04500008,13.98523045,14.13319016,13.59782982,13.90655041,14.38836002
"Macedonia, FYR",MKD,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.94814014,12.0927,12.91122721,12.21720028,13.04520988,12.97235012,12.92846012,13.57464749,12.89420033,12.84195042,12.80319977
Madagascar,MDG,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.71563379,9.047719955,9.113889694,9.376879692,9.69781971,10.17339039,13.60591236,10.16271973,10.34613991,14.09953858,10.50337982
Malaysia,MYS,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.94602013,12.7262001,12.29380035,12.48171997,12.62745953,12.76918983,12.94952965,12.71302986,12.91104031,13.07579994,13.07878971
Malta,MLT,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,14.58627987,14.39507961,14.26953983,14.43811035,14.37557983,13.29808107,15.05187035,14.78120995,14.91858959,15.05502987,15.25821018
Mauritania,MRT,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,7.153019905,7.174610138,7.377250195,13.19833133,7.104020119,7.564370155,7.652349949,7.750120163,8.135210037,8.46378994,14.38965079
Mauritius,MUS,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,13.01686954,13.42294025,13.54185009,13.64451981,13.7512598,13.99851036,14.08798981,14.25485992,14.69456005,14.68052959,15.16621017
Mexico,MEX,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.2006197,12.20753002,12.26583958,12.34008026,12.47640991,12.51947975,12.64066029,12.69472027,12.94608021,13.1221199,13.29909039
Middle East & North Africa,MEA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.28094959,11.59166622,11.69993019,11.83610058,11.98656178,12.09130001,12.27054977,12.51789093,12.96283245,12.90062809,12.91737366
Middle East & North Africa (excluding high income),MNA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.07648373,11.39998627,11.5160284,11.65813923,11.81754017,11.91109943,12.06485367,12.30531693,12.75511169,12.60728836,12.61463451
Middle income,MIC,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,10.27307987,10.46918011,10.61678982,10.84045982,11.03493977,11.15927982,11.41530037,11.69445992,11.91853046,12.12057018,12.22622967
Moldova,MDA,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,11.87462044,11.92158031,12.09875011,12.05498981,11.98530006,11.83687973,11.76731968,11.78789043,11.77853012,11.81357956,11.76270962
Morocco,MAR,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,9.837470055,9.998999596,10.02293968,10.29520035,10.49520969,10.74435997,11.17492008,11.60433006,12.05494022,14.09953858,14.38965079
Mozambique,MOZ,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,7.34525013,7.91381979,8.184300423,8.767210007,9.187829971,9.32063961,9.496890068,9.233149529,9.097189903,9.628230095,9.56867981
Nepal,NPL,"School life expectancy, primary to tertiary, both sexes (years)",SE.SCH.LIFE,12.71563379,9.575969696,10.03493023,10.1157999,10.49135971,11.12395,11.96592999,12.29835033,13.67457888,12.40063953,12.21763039
