Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Afghanistan,AFG,Scientific and technical journal articles,IP.JRN.ARTC.SC,6.8,8.4,10.2,13,12.7,21.5,29.3,43.2,35,26.5,26.5
Albania,ALB,Scientific and technical journal articles,IP.JRN.ARTC.SC,21.9,24.5,31.8,40.5,51.5,77,136.7,160.9,186.5,183.6,183.6
Algeria,DZA,Scientific and technical journal articles,IP.JRN.ARTC.SC,819.2,930,1306.1,1445.8,1829.6,2237.1,2258.5,2620,3173.8,3652.5,3652.5
Andorra,AND,Scientific and technical journal articles,IP.JRN.ARTC.SC,1.3,5.2,5,6.2,0.7,3.4,1.2,1,3.9,5.9,5.9
Angola,AGO,Scientific and technical journal articles,IP.JRN.ARTC.SC,7.2,8.9,13.6,10.9,10.7,14,15.7,17.8,21.8,22.6,22.6
Antigua and Barbuda,ATG,Scientific and technical journal articles,IP.JRN.ARTC.SC,0.7,1.8,1.6,4.3,6.3,3.8,2.2,0.8,2.5,1.9,1.9
Arab World,ARB,Scientific and technical journal articles,IP.JRN.ARTC.SC,11516.18832,12553.1503,14389.76007,16110.56292,18404,22131.7,24863.8,29042.9,32902.1,36106.1,36106.1
Argentina,ARG,Scientific and technical journal articles,IP.JRN.ARTC.SC,4641.3,4882,5334.5,5666.5,6276.5,7013.5,7420,7859.7,8073.1,8053.1,8053.1
Armenia,ARM,Scientific and technical journal articles,IP.JRN.ARTC.SC,328.9,375.2,358.4,391.2,387.6,432.3,488.8,612.6,558.7,558.5,558.5
Australia,AUS,Scientific and technical journal articles,IP.JRN.ARTC.SC,25971.5,29798.2,31934.6,34606.6,35847.1,37928.4,40078.9,42937.1,44488.9,47805.7,47805.7
Austria,AUT,Scientific and technical journal articles,IP.JRN.ARTC.SC,7977.5,8838.6,9061,9818,10209.8,10847.8,11042.9,11614.1,12001,12031.3,12031.3
Azerbaijan,AZE,Scientific and technical journal articles,IP.JRN.ARTC.SC,327.5,329.8,280,408.6,470.8,617,618.7,655.8,683.1,481.8,481.8
"Bahamas, The",BHS,Scientific and technical journal articles,IP.JRN.ARTC.SC,3,6.9,5.9,11.1,6,9.7,8.8,10.9,7.8,15.8,15.8
Bahrain,BHR,Scientific and technical journal articles,IP.JRN.ARTC.SC,130.7,156.6,177.3,176.7,161.1,189,201.7,180.2,157.2,209.7,209.7
Bangladesh,BGD,Scientific and technical journal articles,IP.JRN.ARTC.SC,486.2,561.6,688,959.8,1066,1239.9,1546.8,1585.6,2085.9,1970.6,1970.6
Barbados,BRB,Scientific and technical journal articles,IP.JRN.ARTC.SC,48.4,36.1,40.3,45.5,43,34.9,24.7,35.5,45.2,39.1,39.1
Belarus,BLR,Scientific and technical journal articles,IP.JRN.ARTC.SC,1076.4,1207.2,1138,1260.4,1030.5,1160.4,1040.1,1088.3,992.4,1000.6,1000.6
Belgium,BEL,Scientific and technical journal articles,IP.JRN.ARTC.SC,11222.3,12557,12824.3,13507,14137.6,14826.3,14942,15560.5,16439.7,16511.3,16511.3
Belize,BLZ,Scientific and technical journal articles,IP.JRN.ARTC.SC,4.5,5.7,4.9,1.8,3.6,9.6,11,3.4,8.5,9.6,9.6
Benin,BEN,Scientific and technical journal articles,IP.JRN.ARTC.SC,61.7,59,83.5,90,94.3,125.5,111.3,147.2,159,187.1,187.1
Bhutan,BTN,Scientific and technical journal articles,IP.JRN.ARTC.SC,9.4,5.5,15.9,8.1,6.2,12.1,17.2,17.3,17.2,28.6,28.6
Bolivia,BOL,Scientific and technical journal articles,IP.JRN.ARTC.SC,45,59.9,69.9,79.7,96.6,86.2,78.9,85.8,85.1,89.4,89.4
Bosnia and Herzegovina,BIH,Scientific and technical journal articles,IP.JRN.ARTC.SC,110.4,180.4,199.5,251.4,336.1,369.3,451.9,481.3,493.7,437.3,437.3
Botswana,BWA,Scientific and technical journal articles,IP.JRN.ARTC.SC,120.2,105.1,178.1,138.5,150.3,135.9,149.5,165.7,154.5,165.3,165.3
Brazil,BRA,Scientific and technical journal articles,IP.JRN.ARTC.SC,18861.9,21420.4,27507.1,30174.1,34534.4,37811.7,40530.5,43218.6,47302.1,48622.2,48622.2
Brunei Darussalam,BRN,Scientific and technical journal articles,IP.JRN.ARTC.SC,28,30.1,33.7,41.9,44,45.5,47.7,77.6,105.1,120.2,120.2
Bulgaria,BGR,Scientific and technical journal articles,IP.JRN.ARTC.SC,1603,1905.1,1777.5,2371.6,2269.4,2453,2505.1,2434.3,2678.8,2677.3,2677.3
Burkina Faso,BFA,Scientific and technical journal articles,IP.JRN.ARTC.SC,72.7,74.9,106.8,115.9,122.4,140.5,134.1,168.5,214.8,177,177
Burundi,BDI,Scientific and technical journal articles,IP.JRN.ARTC.SC,4,2.8,4.3,5.5,2.5,3.5,12.8,9,10.8,16.3,16.3
Cabo Verde,CPV,Scientific and technical journal articles,IP.JRN.ARTC.SC,0.3,0.4,4.1,1.2,2.1,4.9,3.1,2.4,4,8,8
Cambodia,KHM,Scientific and technical journal articles,IP.JRN.ARTC.SC,36.4,36.8,45.8,50.9,50.8,61.1,57.9,67.4,76.2,84,84
Cameroon,CMR,Scientific and technical journal articles,IP.JRN.ARTC.SC,207.6,281.7,331.7,366.7,342.8,371.6,401.4,450.8,457.1,526.8,526.8
Canada,CAN,Scientific and technical journal articles,IP.JRN.ARTC.SC,40374,45884.1,47953.8,51048.4,52300.3,54298.2,55420.2,56384.2,58420.3,57796.7,57796.7
Caribbean small states,CSS,Scientific and technical journal articles,IP.JRN.ARTC.SC,364.2463614,393.9458298,370.6068532,454.648559,474.2801951,522.524029,458,532,547,489.9,489.9
Central African Republic,CAF,Scientific and technical journal articles,IP.JRN.ARTC.SC,8.9,9.6,13.1,8.5,9.8,10.1,14.3,13.4,10.5,11.8,11.8
Central Europe and the Baltics,CEB,Scientific and technical journal articles,IP.JRN.ARTC.SC,40625.5,46967.7,49950,54736.9,61886.7,65300.2,69896.5,73984.7,77189.1,80287,80287
Chad,TCD,Scientific and technical journal articles,IP.JRN.ARTC.SC,10,9.4,11,5.5,6.8,9.5,6.3,8.9,6,7,7
Chile,CHL,Scientific and technical journal articles,IP.JRN.ARTC.SC,2255.7,2520.6,3063.6,3399.8,3825.4,4103.6,4198.5,4617.3,5115.8,5157.6,5157.6
China,CHN,Scientific and technical journal articles,IP.JRN.ARTC.SC,106844,156585.6,181690.5,207175.3,240030.2,278947.4,305827,351462.8,372038.4,401434.5,401434.5
Colombia,COL,Scientific and technical journal articles,IP.JRN.ARTC.SC,804.9,966.4,1346.2,1565.3,2374.4,2664.5,3113.2,3405.8,4068.5,4455.9,4455.9
Comoros,COM,Scientific and technical journal articles,IP.JRN.ARTC.SC,1.2,0.9,0.2,2.1,0.7,0.8,2.2,3.9,1.6,13.9,13.9
