Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,-280000,360000,-20000,20000,-93326.6667,690000,-1460000,-10000,6040000,170000,680000,50000000,57800000,186900000,271000000,238000000,188690000,46033740,197512727.48,54200551,57620844,47226787.51,37638586,43510167.3,163102610,..
Albania,ALB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,20000000,58000000,53000000,70000000,90100000,47500000,45010000,41200000,143000000,207300000,135000000,178036400.666667,341285112.537562,262479012.637464,325138316.803697,652275603.722803,1240972848.53596,1343091149.96018,1089416366.35459,1049425306.16838,920080650.143207,1253783309.34152,1149384240.80512,991259675.236875,1087538657.73556
Algeria,DZA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,334914.564224984,11638686.4524336,30000000,..,..,..,270000000,260000000,606600000,291600000,280100000,1113105541,1065000000,637881239,881851385,1155999999.99995,1841000000.00008,1686736539.70385,2638607033.75184,2746930734.16534,2300369124.15828,2571237024.68517,1500402452.8635,1691886707.50796,1503453102.19186,-403397081.115475,..
American Samoa,ASM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-334800000,664500000,287956000,302100000,170300000,472427000,180559000,411660000,1113970000,2471460000,878620000,2145470000,1743504000,3576971780,2197227820,-1303836930,-37714860,-893342152,1678971010,2205298180,-3227211182.45,-3023770965.83688,-6897954558.89544,-7120017424.46139,1921699719.14449,9282167512.38257,..
Antigua and Barbuda,ATG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,60607407.4074074,54792592.5925926,19648148.1481481,15240740.7407407,24788888.8888888,31485185.1851852,19351851.8518518,22944444.4444444,22774074.0740741,51792533.3333333,43115925.9259259,98452222.2222222,65865064.8148148,166321143.703704,80366585.1851852,220963374.074074,358820163.703704,338204733.333333,158783774.444444,80646652.5925926,96679207.7777778,65160596.2962963,129367138.888889,134288999.62963,154773333.333333,154058518.518519,..
Arab World,ARB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2778949076.94373,2111305591.05692,3466824028.79316,4324148897.17106,3368155276.06928,13271440.6084598,3299808634.01077,6094422313.90399,8217677454.18277,1180110166.38425,3634677446.34352,6218877915.50486,5758421599.58327,14595438979.3745,21263905250.5436,46007410075.1831,69410959612.5606,81832690758.3696,88751293579.6057,76654441611.7901,70001827708.8361,44416940145.308,48700236582.9431,45799686530.6512,45667491506.2591,35484089183.5033,10819473311.4442
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1836000000,2439000000,4430977523.08014,2793085410.09827,3634931878.26435,5609423403.56467,6948536686.64725,9160272052.4446,7290657132.08156,23987696389.6428,10418314339.1428,2166136829.76399,2148910000,1652010000,4124710000,5265250000,5537340000,6473150000,9725560000,4017158924.88408,11332718626.4345,10839930944.6815,15323933916.8241,9821661858.15874,5065335541.96486,11758994011.286,..
Armenia,ARM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,..,..,2400000,800000,8000000,25320000,17570000,51940000,220830000,122040000,104188500,69868500,110725325.614409,122852992.703235,247140608.495888,292073220.164722,466531991.901724,667671562.134495,943733059.483284,760040745.87233,529321391.641959,653219756.47225,496636701.129687,346092394.393256,404344951.14452,178452920.499116,338033697.146734
