,Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
0,Afghanistan,AFG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,7287682988.79307,-280000.0,360000.0,-20000.0,20000.0,-93326.6667,690000.0,-1460000.0,-10000.0,6040000.0,170000.0,680000.0,50000000.0,57800000.0,186900000.0,271000000.0,238000000.0,188690000.0,46033740.0,197512727.48,54200551.0,57620844.0,47226787.51,37638586.0,43510167.3,163102610.0
1,Albania,ALB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,7287682988.79307,5825475306.284098,20000000.0,58000000.0,53000000.0,70000000.0,90100000.0,47500000.0,45010000.0,41200000.0,143000000.0,207300000.0,135000000.0,178036400.666667,341285112.537562,262479012.637464,325138316.803697,652275603.722803,1240972848.53596,1343091149.96018,1089416366.35459,1049425306.16838,920080650.143207,1253783309.34152,1149384240.80512,991259675.236875
5,Angola,AGO,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-334800000.0,664500000.0,287956000.0,302100000.0,170300000.0,472427000.0,180559000.0,411660000.0,1113970000.0,2471460000.0,878620000.0,2145470000.0,1743504000.0,3576971780.0,2197227820.0,-1303836930.0,-37714860.0,-893342152.0,1678971010.0,2205298180.0,-3227211182.45,-3023770965.83688,-6897954558.89544,-7120017424.46139,1921699719.14449,9282167512.38257
6,Antigua and Barbuda,ATG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,60607407.4074074,54792592.5925926,19648148.1481481,15240740.7407407,24788888.8888888,31485185.1851852,19351851.8518518,22944444.4444444,22774074.0740741,51792533.3333333,43115925.9259259,98452222.2222222,65865064.8148148,166321143.703704,80366585.1851852,220963374.074074,358820163.703704,338204733.333333,158783774.444444,80646652.5925926,96679207.7777778,65160596.2962963,129367138.888889,134288999.62963,154773333.333333,154058518.518519
7,Arab World,ARB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2778949076.94373,2111305591.05692,3466824028.79316,4324148897.17106,3368155276.06928,13271440.6084598,3299808634.01077,6094422313.90399,8217677454.18277,1180110166.38425,3634677446.34352,6218877915.50486,5758421599.58327,14595438979.3745,21263905250.5436,46007410075.1831,69410959612.5606,81832690758.3696,88751293579.6057,76654441611.7901,70001827708.8361,44416940145.308,48700236582.9431,45799686530.6512,45667491506.2591,35484089183.5033
8,Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1836000000.0,2439000000.0,4430977523.08014,2793085410.09827,3634931878.26435,5609423403.56467,6948536686.64725,9160272052.4446,7290657132.08156,23987696389.6428,10418314339.1428,2166136829.76399,2148910000.0,1652010000.0,4124710000.0,5265250000.0,5537340000.0,6473150000.0,9725560000.0,4017158924.88408,11332718626.4345,10839930944.6815,15323933916.8241,9821661858.15874,5065335541.96486,11758994011.286
9,Armenia,ARM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,7287682988.79307,5825475306.284098,2400000.0,800000.0,8000000.0,25320000.0,17570000.0,51940000.0,220830000.0,122040000.0,104188500.0,69868500.0,110725325.614409,122852992.703235,247140608.495888,292073220.164722,466531991.901724,667671562.134495,943733059.483284,760040745.87233,529321391.641959,653219756.47225,496636701.129687,346092394.393256,404344951.14452,178452920.499116
10,Aruba,ABW,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,130502793.296089,184748603.351955,-36983240.2234637,-17932960.8938547,-73184357.5418994,-5530726.25698324,84469273.7430168,195921787.709497,83575418.9944134,463016759.776537,-127932960.893854,-266927374.301677,332513966.480447,159776536.312849,-105698324.022346,-207798005.868163,220316139.723839,-471005586.592179,18882681.5642458,-10614525.1396648,186759776.536313,488156424.581006,-314692737.430167,229888268.156425,246759776.536313,-22681564.2458101
11,Australia,AUS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,8110892263.75746,4312358476.32102,5699133705.10764,4318356055.64033,5000720814.41679,12026426011.7474,6181381324.81178,7631273089.6073,5956935412.56439,3311038586.09037,14892978180.1828,10717133150.6924,14656321800.5386,8985246029.5004,42907672820.3756,-25093141435.1896,30551100656.5983,44440090037.7724,45160024270.9395,28683266147.8801,35210733743.0829,65554890649.5348,57550426822.6138,53997299139.8889,45978797620.4125,36595012584.0761
12,Austria,AUT,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,653220243.884956,360071602.901055,1442437728.72659,1129076308.08215,2116581764.51514,1900496647.92004,4414662673.39958,2623778926.45191,4643266783.40322,3008319638.96604,8525406379.1313,5905880644.78423,318132393.328332,7098252089.87043,3892054627.31739,81287916302.2176,10497447195.5608,68885359636.3474,6310797391.27563,14293213431.1855,-22005597160.6968,22974390292.5696,5219630177.4195,451322440.339745,1715068690.83548,5182161264.0177
