Country Name,Country Code,Series,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,3.46148991584778,3.43914008140564,2.5275399684906,3.48140001296997,3.78028011322021,3.31753993034363
Albania,ALB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.17017006874084,3.23791003227234,3.15793991088867,3.26756000518799,..,..,..,..,..,3.53943991661072,..,..
Algeria,DZA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,4.35424995422363,..,..,..,..,..,..,..
American Samoa,ASM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,1.53253996372223,1.60025000572205,2.19398999214172,2.074049949646,2.93457007408142,3.16387009620667,3.06579995155334,3.15889000892639,..,2.46257996559143,2.99780988693237,3.25367999076843
Angola,AGO,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,2.77712988853455,2.85844993591309,..,..,..,3.47622990608215,..,..,..,..,..
Antigua and Barbuda,ATG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,2.55447006225586,..,..,..,..,..,..
Arab World,ARB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.48734998703003,3.84376001358032,4.11042976379395,4.44268989562988,4.84290981292725,5.52189016342163,4.99483013153076,5.26411008834839,5.32145023345947,5.41768980026245,5.32548999786377,..
Armenia,ARM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.48406004905701,2.71550989151001,2.71187996864319,3.01824998855591,3.17114996910095,3.8428099155426,3.24919009208679,3.14213991165161,2.77017998695374,2.64763998985291,2.24659991264343,2.81350994110107
Aruba,ABW,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.40889978408813,4.6807599067688,..,4.79918003082275,4.91558980941772,5.92467021942139,6.71249008178711,6.03687000274658,6.54905986785889,6.80806016921997,6.16293001174927,..
Australia,AUS,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,4.91228008270264,4.74273014068604,4.64631986618041,4.62719011306763,5.08641004562378,5.55523014068604,5.09834003448486,4.89990997314453,5.28584003448486,5.22533988952637,..
Austria,AUT,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.31006002426147,5.27166986465454,5.26237010955811,5.18300008773804,5.29572010040283,5.77120018005371,5.71780014038086,5.61269998550415,5.50897979736328,5.56273984909058,5.49954986572266,..
Azerbaijan,AZE,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.44765996932983,2.97462010383606,2.5555100440979,2.5492799282074,2.44092988967896,3.22430992126465,2.78062009811401,2.43564009666443,2.09629988670349,2.4621798992157,2.63466000556946,..
"Bahamas, The",BHS,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,2.87436008453369,2.57500004768372,2.49677991867065,..,..,..,2.64530992507935,2.47689008712769,2.46745991706848,2.66808009147644
Bangladesh,BGD,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,1.94193005561829,..,2.13165998458862,2.20375990867615,2.05381989479065,1.93843996524811,..,2.13146996498108,2.17510008811951,1.95726001262665,..,..
Barbados,BRB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.90405988693237,5.55693006515503,..,5.11634016036987,5.06107997894287,5.32742023468018,5.87584018707275,..,5.62322998046875,5.47924995422363,6.57329988479614,..
Belarus,BLR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.71131992340088,5.86806011199951,6.07444000244141,5.15025997161865,..,4.53130006790161,5.42583990097046,4.84639978408813,5.12449979782104,5.17682981491089,4.99043989181519,4.94764995574951
Belgium,BEL,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.80134010314941,5.77791976928711,5.83432006835938,5.84417009353638,6.29256010055541,6.4113302230835,6.40975999832153,6.38052988052368,..,6.64542007446289,6.58514022827148,..
Belize,BLZ,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.29927015304565,..,..,..,5.68775987625122,6.09577989578247,6.61329984664916,..,..,6.21728992462158,6.42583990097046,..
