Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,49.8578048780488,50.627756097561,51.332756097561,51.9702682926829,52.5438292682927,53.0624146341464,53.5435365853659,54.0097073170732,54.4829024390244,54.9751463414634,55.4989268292683,56.0607073170732,56.6535365853659,57.2658780487805,57.8912195121951,58.5155853658537,59.1259512195122,59.7088536585366,60.2567317073171,60.7646097560976,61.2354634146342,61.674243902439,62.0929756097561,62.5016097560976,62.9026829268293,63.2981951219512,..
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.9587804878049,71.9262682926829,71.9179756097561,71.9648048780488,72.0807317073171,72.2762682926829,72.5514878048781,72.8839512195122,73.2506341463415,73.6355365853659,74.0140243902439,74.3629268292683,74.6706585365854,74.9347073170732,75.1570975609756,75.3570243902439,75.561243902439,75.7949268292683,76.0726585365854,76.3948780487805,76.7479024390244,77.1084634146342,77.4482682926829,77.7470975609756,77.9983902439024,78.2031463414634,..
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.6930243902439,66.955,67.2006585365854,67.4606097560976,67.7553658536585,68.0983658536585,68.4910243902439,68.9147073170732,69.3573170731707,69.8142926829268,70.2856829268293,70.7720243902439,71.2703902439025,71.7743170731707,72.2758292682927,72.7614146341463,73.2195609756098,73.6427073170732,74.0253170731707,74.3678536585366,74.6697804878049,74.9375609756098,75.1811951219512,75.4121707317073,75.6350243902439,75.8552926829268,..
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,41.6694878048781,41.8284634146342,42.0346585365854,42.3030975609756,42.6502926829268,43.0981219512195,43.6659512195122,44.3551463414634,45.1595853658537,46.0707804878049,47.076756097561,48.1626341463415,49.3015609756098,50.4661219512195,51.6328536585366,52.7877073170732,53.9271219512195,55.047512195122,56.1392926829268,57.181,58.1411219512195,58.991243902439,59.7184390243903,60.321756097561,60.8067317073171,61.1893414634146,..
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.1629512195122,71.4005853658537,71.6347073170732,71.8658536585366,72.093,72.3176829268293,72.5388536585366,72.7575609756098,72.9737804878049,73.1860243902439,73.3972926829268,73.6070975609756,73.8154390243902,74.0217804878049,74.2261463414634,74.4254390243903,74.6191463414634,74.8047317073171,74.9821951219512,75.1515365853659,75.3132926829268,75.4695365853659,75.6218048780488,75.7736585365854,75.9240975609756,76.0756341463415,..
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.3192728132559,64.687536877844,64.9815424704946,65.3456480580956,65.7133613741494,66.1249644791352,66.4841750394786,66.8263099962888,67.143209699416,67.4345973858974,67.7034743681906,67.9566832117218,68.20217114317,68.4482092252494,68.698537558665,68.9518052402373,69.203318661499,69.4456914432646,69.6716376992643,69.8792992431985,70.0713608299698,70.2556943131695,70.4406750515263,70.6313782768186,70.8275894931882,71.0284385361379,..
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.5436585365854,71.7632926829268,71.9889512195122,72.2156585365854,72.4413902439024,72.6651219512195,72.8873414634146,73.1080487804878,73.3276829268293,73.5442682926829,73.7558048780488,73.9603170731707,74.1557804878049,74.3412682926829,74.5187804878049,74.6883170731707,74.8514146341464,75.0115609756098,75.1712926829268,75.3310975609756,75.4920243902439,75.6535609756098,75.814756097561,75.9745609756098,76.134,76.2930243902439,..
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.7487804878049,67.7426829268293,67.8626097560976,68.0856585365854,68.3986097560976,68.789512195122,69.2431219512195,69.7388536585366,70.2481707317073,70.7453414634146,71.1996585365854,71.5819756097561,71.8883902439024,72.1209756097561,72.2847317073171,72.3987804878049,72.491243902439,72.593243902439,72.7259024390244,72.898756097561,73.1092926829268,73.3459756097561,73.5862195121951,73.8119268292683,74.0195853658537,74.2061951219512,..
