Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,32,26,36,53,53,46,46,46,46,46,..,..
Algeria,DZA,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,1945,1471,1429,1429,1562,1184,1281,1248,1248,1248,928,1011
American Samoa,ASM,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,1972.5,..,..,1722,1722,1722.068,..,..
Argentina,ARG,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,12628,12871,12871,12025,12025,12111,12111,12111,12111,..
Armenia,ARM,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,678,654.136,354,..,354,..,346,346,346,346,786.1,640.4
Aruba,ABW,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,42300,46164,46486.4401216511,60126.1833922525,61019,62083,64172,59649,59649,59649,59649,..
Austria,AUT,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,19027,17060,19525.9,18995.9,18710,20202,23104,16899,21683,15134,20673.75,20804.04
Azerbaijan,AZE,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,7551,..,11059,10374,10021,7582,8250,7846,8212,7958.3,7370.9,6210.5
"Bahamas, The",BHS,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,895.499,896,817,817,870,..,710,710,710,710,710,..
Barbados,BRB,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,40331,43559,45723,47933,47933,42742,46224,49406,48351,43818,44997,40785
Belgium,BEL,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,8725,9157,9835,9357,7882,5472,5439,5439,5439,5220,5439,..
Belize,BLZ,"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6,..,..,..,..,..,..,..,..,..,..,..,..
