Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,Scientific and technical journal articles,IP.JRN.ARTC.SC,6.8,8.4,10.2,13,12.7,21.5,29.3,43.2,35,26.5,..,..
Albania,ALB,Scientific and technical journal articles,IP.JRN.ARTC.SC,21.9,24.5,31.8,40.5,51.5,77,136.7,160.9,186.5,183.6,..,..
Algeria,DZA,Scientific and technical journal articles,IP.JRN.ARTC.SC,819.2,930,1306.1,1445.8,1829.6,2237.1,2258.5,2620,3173.8,3652.5,..,..
American Samoa,ASM,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Scientific and technical journal articles,IP.JRN.ARTC.SC,1.3,5.2,5,6.2,0.7,3.4,1.2,1,3.9,5.9,..,..
Angola,AGO,Scientific and technical journal articles,IP.JRN.ARTC.SC,7.2,8.9,13.6,10.9,10.7,14,15.7,17.8,21.8,22.6,..,..
Antigua and Barbuda,ATG,Scientific and technical journal articles,IP.JRN.ARTC.SC,0.7,1.8,1.6,4.3,6.3,3.8,2.2,0.8,2.5,1.9,..,..
Arab World,ARB,Scientific and technical journal articles,IP.JRN.ARTC.SC,11516.1883181455,12553.1502969641,14389.7600704237,16110.5629221481,18404,22131.7,24863.8,29042.9,32902.1,36106.1,..,..
Argentina,ARG,Scientific and technical journal articles,IP.JRN.ARTC.SC,4641.3,4882,5334.5,5666.5,6276.5,7013.5,7420,7859.7,8073.1,8053.1,..,..
Armenia,ARM,Scientific and technical journal articles,IP.JRN.ARTC.SC,328.9,375.2,358.4,391.2,387.6,432.3,488.8,612.6,558.7,558.5,..,..
Aruba,ABW,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Scientific and technical journal articles,IP.JRN.ARTC.SC,25971.5,29798.2,31934.6,34606.6,35847.1,37928.4,40078.9,42937.1,44488.9,47805.7,..,..
Austria,AUT,Scientific and technical journal articles,IP.JRN.ARTC.SC,7977.5,8838.6,9061,9818,10209.8,10847.8,11042.9,11614.1,12001,12031.3,..,..
Azerbaijan,AZE,Scientific and technical journal articles,IP.JRN.ARTC.SC,327.5,329.8,280,408.6,470.8,617,618.7,655.8,683.1,481.8,..,..
"Bahamas, The",BHS,Scientific and technical journal articles,IP.JRN.ARTC.SC,3,6.9,5.9,11.1,6,9.7,8.8,10.9,7.8,15.8,..,..
Bahrain,BHR,Scientific and technical journal articles,IP.JRN.ARTC.SC,130.7,156.6,177.3,176.7,161.1,189,201.7,180.2,157.2,209.7,..,..
Bangladesh,BGD,Scientific and technical journal articles,IP.JRN.ARTC.SC,486.2,561.6,688,959.8,1066,1239.9,1546.8,1585.6,2085.9,1970.6,..,..
Barbados,BRB,Scientific and technical journal articles,IP.JRN.ARTC.SC,48.4,36.1,40.3,45.5,43,34.9,24.7,35.5,45.2,39.1,..,..
Belarus,BLR,Scientific and technical journal articles,IP.JRN.ARTC.SC,1076.4,1207.2,1138,1260.4,1030.5,1160.4,1040.1,1088.3,992.4,1000.6,..,..
Belgium,BEL,Scientific and technical journal articles,IP.JRN.ARTC.SC,11222.3,12557,12824.3,13507,14137.6,14826.3,14942,15560.5,16439.7,16511.3,..,..
Belize,BLZ,Scientific and technical journal articles,IP.JRN.ARTC.SC,4.5,5.7,4.9,1.8,3.6,9.6,11,3.4,8.5,9.6,..,..
Benin,BEN,Scientific and technical journal articles,IP.JRN.ARTC.SC,61.7,59,83.5,90,94.3,125.5,111.3,147.2,159,187.1,..,..
Bermuda,BMU,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,Scientific and technical journal articles,IP.JRN.ARTC.SC,9.4,5.5,15.9,8.1,6.2,12.1,17.2,17.3,17.2,28.6,..,..
Bolivia,BOL,Scientific and technical journal articles,IP.JRN.ARTC.SC,45,59.9,69.9,79.7,96.6,86.2,78.9,85.8,85.1,89.4,..,..
Bosnia and Herzegovina,BIH,Scientific and technical journal articles,IP.JRN.ARTC.SC,110.4,180.4,199.5,251.4,336.1,369.3,451.9,481.3,493.7,437.3,..,..
Botswana,BWA,Scientific and technical journal articles,IP.JRN.ARTC.SC,120.2,105.1,178.1,138.5,150.3,135.9,149.5,165.7,154.5,165.3,..,..
Brazil,BRA,Scientific and technical journal articles,IP.JRN.ARTC.SC,18861.9,21420.4,27507.1,30174.1,34534.4,37811.7,40530.5,43218.6,47302.1,48622.2,..,..
British Virgin Islands,VGB,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Scientific and technical journal articles,IP.JRN.ARTC.SC,28,30.1,33.7,41.9,44,45.5,47.7,77.6,105.1,120.2,..,..
Bulgaria,BGR,Scientific and technical journal articles,IP.JRN.ARTC.SC,1603,1905.1,1777.5,2371.6,2269.4,2453,2505.1,2434.3,2678.8,2677.3,..,..
Burkina Faso,BFA,Scientific and technical journal articles,IP.JRN.ARTC.SC,72.7,74.9,106.8,115.9,122.4,140.5,134.1,168.5,214.8,177,..,..
Burundi,BDI,Scientific and technical journal articles,IP.JRN.ARTC.SC,4,2.8,4.3,5.5,2.5,3.5,12.8,9,10.8,16.3,..,..
Cabo Verde,CPV,Scientific and technical journal articles,IP.JRN.ARTC.SC,0.3,0.4,4.1,1.2,2.1,4.9,3.1,2.4,4,8,..,..
Cambodia,KHM,Scientific and technical journal articles,IP.JRN.ARTC.SC,36.4,36.8,45.8,50.9,50.8,61.1,57.9,67.4,76.2,84,..,..
Cameroon,CMR,Scientific and technical journal articles,IP.JRN.ARTC.SC,207.6,281.7,331.7,366.7,342.8,371.6,401.4,450.8,457.1,526.8,..,..
Canada,CAN,Scientific and technical journal articles,IP.JRN.ARTC.SC,40374,45884.1,47953.8,51048.4,52300.3,54298.2,55420.2,56384.2,58420.3,57796.7,..,..
Caribbean small states,CSS,Scientific and technical journal articles,IP.JRN.ARTC.SC,364.24636141654,393.945829801802,370.606853163902,454.648558961297,474.280195143195,522.524028966425,458,532,547,489.9,..,..
Cayman Islands,CYM,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,Scientific and technical journal articles,IP.JRN.ARTC.SC,8.9,9.6,13.1,8.5,9.8,10.1,14.3,13.4,10.5,11.8,..,..
Central Europe and the Baltics,CEB,Scientific and technical journal articles,IP.JRN.ARTC.SC,40625.5,46967.7,49950,54736.9,61886.7,65300.2,69896.5,73984.7,77189.1,80287,..,..
Chad,TCD,Scientific and technical journal articles,IP.JRN.ARTC.SC,10,9.4,11,5.5,6.8,9.5,6.3,8.9,6,7,..,..
Channel Islands,CHI,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,Scientific and technical journal articles,IP.JRN.ARTC.SC,2255.7,2520.6,3063.6,3399.8,3825.4,4103.6,4198.5,4617.3,5115.8,5157.6,..,..
China,CHN,Scientific and technical journal articles,IP.JRN.ARTC.SC,106844,156585.6,181690.5,207175.3,240030.2,278947.4,305827,351462.8,372038.4,401434.5,..,..
Colombia,COL,Scientific and technical journal articles,IP.JRN.ARTC.SC,804.9,966.4,1346.2,1565.3,2374.4,2664.5,3113.2,3405.8,4068.5,4455.9,..,..
Comoros,COM,Scientific and technical journal articles,IP.JRN.ARTC.SC,1.2,0.9,0.2,2.1,0.7,0.8,2.2,3.9,1.6,13.9,..,..
"Congo, Dem. Rep.",COD,Scientific and technical journal articles,IP.JRN.ARTC.SC,3.5,5.4,8.1,7.2,8.4,16.2,18.3,13.7,21.4,16.4,..,..
"Congo, Rep.",COG,Scientific and technical journal articles,IP.JRN.ARTC.SC,47,65.1,63.5,73.6,74.9,71,91.8,95.2,114.2,136.8,..,..
Costa Rica,CRI,Scientific and technical journal articles,IP.JRN.ARTC.SC,211.6,207.7,215.1,215.4,246.1,256.8,264.3,267.1,295.9,276.6,..,..
Cote d'Ivoire,CIV,Scientific and technical journal articles,IP.JRN.ARTC.SC,107.8,102.4,103.3,154.3,222.3,190.2,207.3,218.8,220,169.2,..,..
Croatia,HRV,Scientific and technical journal articles,IP.JRN.ARTC.SC,2518.2,3008.7,2931,3480.1,3821.6,4176.6,4243,4666.5,4479.2,4359,..,..
Cuba,CUB,Scientific and technical journal articles,IP.JRN.ARTC.SC,815.5,939.6,1219.4,1096.8,1175.4,1398.7,1312.6,1585.2,1526,1547.9,..,..
Curacao,CUW,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,Scientific and technical journal articles,IP.JRN.ARTC.SC,217.5,265.6,313.8,365,434.6,575.4,620.5,656.9,736.9,888.6,..,..
Czech Republic,CZE,Scientific and technical journal articles,IP.JRN.ARTC.SC,6773.3,7722.3,8607,9650.9,10377.1,11026.3,12350,13152.2,13590.8,14022.4,..,..
Denmark,DNK,Scientific and technical journal articles,IP.JRN.ARTC.SC,7629.7,8111,8367.9,8824.1,9040.2,9652.1,10168,11242.1,12237.1,12482.4,..,..
Djibouti,DJI,Scientific and technical journal articles,IP.JRN.ARTC.SC,1.9,2.6,1.9,2.3,2.8,8.1,6.9,4.4,6.5,7.8,..,..
Dominica,DMA,Scientific and technical journal articles,IP.JRN.ARTC.SC,2.4,6.3,4.2,3.9,5.2,6.5,8.6,6.9,10.8,11.3,..,..
Dominican Republic,DOM,Scientific and technical journal articles,IP.JRN.ARTC.SC,13.6,17.7,18.1,20.2,18.6,15.5,17.3,20.7,25.5,39.1,..,..
Early-demographic dividend,EAR,Scientific and technical journal articles,IP.JRN.ARTC.SC,88319.4346094456,100274.931001174,115358.700282781,128856.236508971,143677.563712752,163447.8,184183.8,214044.94863807,229687.874117388,241345.793105897,..,..
East Asia & Pacific,EAS,Scientific and technical journal articles,IP.JRN.ARTC.SC,290757.90700824,364855.147675599,403580.179577398,438142.207385928,481085.486939243,532233.282915254,572391.026162208,634627.178246442,661959.059463957,699399.933481765,..,..
East Asia & Pacific (excluding high income),EAP,Scientific and technical journal articles,IP.JRN.ARTC.SC,112918.802417447,164208.172886983,191073.161677845,217906.635689277,254464.246804956,296573.848929653,327711.308204464,378489.153073174,401254.392515817,434278.85328648,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,Scientific and technical journal articles,IP.JRN.ARTC.SC,112845.338693946,164119.600239752,190947.391930028,217824.013669414,254429.967170739,296493.140054031,327697.288829412,378467.418697546,401225.765772773,434227.70533016,..,..
Ecuador,ECU,Scientific and technical journal articles,IP.JRN.ARTC.SC,92.5,126.3,122.7,138.5,150.4,182.9,191.6,168,250.4,256,..,..
"Egypt, Arab Rep.",EGY,Scientific and technical journal articles,IP.JRN.ARTC.SC,3415.2,3477.7,3916.8,4466.9,4893.8,6138.1,6697.7,7708,8929.7,9199.2,..,..
El Salvador,SLV,Scientific and technical journal articles,IP.JRN.ARTC.SC,27.4,23.3,24.7,15.3,21.4,38.3,53.6,41.8,39.6,35.4,..,..
Equatorial Guinea,GNQ,Scientific and technical journal articles,IP.JRN.ARTC.SC,4.1,1.5,3.7,3.8,2.6,5,4.2,3.2,3,2.4,..,..
Eritrea,ERI,Scientific and technical journal articles,IP.JRN.ARTC.SC,11.7,12.8,18.3,27.7,11.2,8.5,12.2,16.7,7.7,10.6,..,..
Estonia,EST,Scientific and technical journal articles,IP.JRN.ARTC.SC,603.7,707.8,843.6,998.8,1087.7,1119.2,1339.8,1365.6,1389.4,1425.8,..,..
Ethiopia,ETH,Scientific and technical journal articles,IP.JRN.ARTC.SC,208,218.4,279.9,327.9,355.9,423.8,475.1,581.5,718.7,801.7,..,..
Euro area,EMU,Scientific and technical journal articles,IP.JRN.ARTC.SC,271073.2,302713.6,318348.9,335091.6,349943.8,367791.3,374599.1,389644.5,405049.8,409134.6,..,..
Europe & Central Asia,ECS,Scientific and technical journal articles,IP.JRN.ARTC.SC,473105.42364227,526020.118357949,550806.959230712,580862.870772636,604718.445671235,636697.713064408,652861.665265665,681610.863287927,708051.354021355,720931.815858018,..,..
Europe & Central Asia (excluding high income),ECA,Scientific and technical journal articles,IP.JRN.ARTC.SC,56977.3,64094.4,64721.1,71682.9,76439.4,83912,89151.8,94330.4,96746.1,102008.4,..,..
Europe & Central Asia (IDA & IBRD countries),TEC,Scientific and technical journal articles,IP.JRN.ARTC.SC,73624.3,82632.9,85016.7,92062.2,98653.3,106633.8,112858,119374.7,123810.8,130761.7,..,..
European Union,EUU,Scientific and technical journal articles,IP.JRN.ARTC.SC,402907.1,447790.7,470351.6,495074.9,515794.1,541144.5,552780.2,575024.4,597675.6,605535.9,..,..
Faroe Islands,FRO,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,Scientific and technical journal articles,IP.JRN.ARTC.SC,55.1,58.5,71.8,80.2,60.9,70.3,56.8,58.3,59.5,84,..,..
Finland,FIN,Scientific and technical journal articles,IP.JRN.ARTC.SC,8127,8644.3,8892.7,9053.6,9208,9458.3,9471.5,9828.3,9985.8,10156.7,..,..
Fragile and conflict affected situations,FCS,Scientific and technical journal articles,IP.JRN.ARTC.SC,1534.76173036908,1768.53948793731,2064.37126262615,2289.35775251637,2647.22989425734,3036.4742218115,3620.53753100861,3930.95122272951,4274.53577068972,4428.30930794724,..,..
France,FRA,Scientific and technical journal articles,IP.JRN.ARTC.SC,53953.1,58833,61646.6,63484.1,66206.3,68329.9,69063.2,70666.9,72424.4,72554.5,..,..
French Polynesia,PYF,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,Scientific and technical journal articles,IP.JRN.ARTC.SC,34.3,44.1,43.1,34.3,43.1,50,41.9,59.4,54.4,50.3,..,..
"Gambia, The",GMB,Scientific and technical journal articles,IP.JRN.ARTC.SC,36.9,36,46.2,35.9,41.7,42.7,45.4,35.6,37.9,45.1,..,..
Georgia,GEO,Scientific and technical journal articles,IP.JRN.ARTC.SC,251.7,277.5,329,271.6,323.7,385.8,340.4,451.4,415.2,468.4,..,..
Germany,DEU,Scientific and technical journal articles,IP.JRN.ARTC.SC,72934.4,81765.2,83335.1,87319.9,89470.3,93328.5,95135.1,98492.8,101777.8,101073.9,..,..
Ghana,GHA,Scientific and technical journal articles,IP.JRN.ARTC.SC,168.4,183,195.5,262.8,285.3,361.8,402.8,485.4,539.7,583.3,..,..
Gibraltar,GIB,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,Scientific and technical journal articles,IP.JRN.ARTC.SC,7595.6,9055.5,10500,10838.3,11532.9,11802.2,11668.3,11599,11674,11370.4,..,..
Greenland,GRL,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,Scientific and technical journal articles,IP.JRN.ARTC.SC,5.6,5.7,14.1,19.3,22.8,18.3,15.3,26,26.9,33.8,..,..
Guam,GUM,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,Scientific and technical journal articles,IP.JRN.ARTC.SC,28.7,52.9,37.9,34.5,41.8,64.6,53.7,48.8,73.2,80.5,..,..
Guinea,GIN,Scientific and technical journal articles,IP.JRN.ARTC.SC,10.2,6.8,17.2,14.1,11,10.3,11.3,10.6,11.9,11.5,..,..
Guinea-Bissau,GNB,Scientific and technical journal articles,IP.JRN.ARTC.SC,9.6,9.1,5.7,12.1,6.9,8.3,5.8,10.4,13.1,12,..,..
Guyana,GUY,Scientific and technical journal articles,IP.JRN.ARTC.SC,11.4,20.2,10.1,14,10.6,10.1,20.1,10.9,13.4,10.7,..,..
Haiti,HTI,Scientific and technical journal articles,IP.JRN.ARTC.SC,7.5,7.3,15.1,10.8,6.9,11.2,13.3,17.1,16.5,27.8,..,..
Heavily indebted poor countries (HIPC),HPC,Scientific and technical journal articles,IP.JRN.ARTC.SC,1994.75745278532,2245.72758863119,2583.12187647819,3056.554181364,3204.45842049627,3596.1,4063.7,4661.32354056383,4900.75316262465,5216.99210328231,..,..
High income,HIC,Scientific and technical journal articles,IP.JRN.ARTC.SC,995368.274995372,1100022.03042324,1147310.66716695,1188215.74857887,1221626.45350096,1264378.25106731,1296645.36545552,1346930.3772905,1385664.38641088,1396451.37719544,..,..
Honduras,HND,Scientific and technical journal articles,IP.JRN.ARTC.SC,14,15.2,12.4,11.8,16.4,16.4,22.3,19,25.6,20,..,..
"Hong Kong SAR, China",HKG,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,..,..,..,..,..
Hungary,HUN,Scientific and technical journal articles,IP.JRN.ARTC.SC,4597.2,5303.2,5331.4,5676.2,6196,5893.7,5718.8,6250.6,6340.5,6249.3,..,..
IBRD only,IBD,Scientific and technical journal articles,IP.JRN.ARTC.SC,268393.891665702,340663.124054344,388922.712460173,436593.836559674,499377.2,568413,626872.817344582,713567.2,758607.044183493,807222.491874605,..,..
Iceland,ISL,Scientific and technical journal articles,IP.JRN.ARTC.SC,299.9,345.2,347.5,359.9,424.4,489,550.5,539.8,627.5,575.9,..,..
IDA & IBRD total,IBT,Scientific and technical journal articles,IP.JRN.ARTC.SC,275820.179217081,349735.541071842,399907.164925929,449777.84672408,513680.717858159,585380.64714716,646124.389137772,735274.900380633,780955.585164481,830664.196242607,..,..
IDA blend,IDB,Scientific and technical journal articles,IP.JRN.ARTC.SC,4168.12548587592,5341.52936264593,6685.80974056429,8047.69310476938,8706.32757814171,10559.0491668291,11879.6195718335,13482.199457372,13217.4750717261,14040.5163176703,..,..
IDA only,IDX,Scientific and technical journal articles,IP.JRN.ARTC.SC,2768.80780700497,3105.99614862583,3585.98891087318,4339.39634597319,4682.63515150021,5368.44398437975,6228.05019104297,6921.42709977873,7747.9356122344,7926.37696353258,..,..
IDA total,IDA,Scientific and technical journal articles,IP.JRN.ARTC.SC,6953.18570544624,8469.61915460786,10300.3267096485,12421.3676950799,13426.082377312,15973.3994368358,18158.8042481197,20462.132805625,21019.6629516037,22025.492181476,..,..
India,IND,Scientific and technical journal articles,IP.JRN.ARTC.SC,28734.7,33090.1,38321.9,43421.1,49101.4,55646.4,65915.9,80515.4,88272.7,93349.4,..,..
Indonesia,IDN,Scientific and technical journal articles,IP.JRN.ARTC.SC,364.7,468.6,552.5,542.3,643.7,956.1,1281.3,1769.3,1992.1,2927.7,..,..
"Iran, Islamic Rep.",IRN,Scientific and technical journal articles,IP.JRN.ARTC.SC,4844.1,6919.6,9936.9,13187.7,17251.4,21100.2,25683.2,32975.5,33720.5,32964.8,..,..
Iraq,IRQ,Scientific and technical journal articles,IP.JRN.ARTC.SC,90.7,140.8,243.9,240.7,318.8,408.2,606.6,792.5,945.3,946.5,..,..
Ireland,IRL,Scientific and technical journal articles,IP.JRN.ARTC.SC,3703.8,4588.9,4700.6,5323,5615.6,6269,6835.2,7189.5,6926,6874,..,..
Isle of Man,IMN,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,Scientific and technical journal articles,IP.JRN.ARTC.SC,9998.1,10221,10862.2,11065.4,11187.5,11072.9,10736.4,11017.1,11517.6,11300.2,..,..
Italy,ITA,Scientific and technical journal articles,IP.JRN.ARTC.SC,42390.1,46243.2,49272,52883.5,54676.8,57620.2,57362.5,58974.9,63310.5,66310.3,..,..
Jamaica,JAM,Scientific and technical journal articles,IP.JRN.ARTC.SC,154.3,135,140.9,165.9,198.2,202.8,156.6,200.9,208.4,176.4,..,..
Japan,JPN,Scientific and technical journal articles,IP.JRN.ARTC.SC,93882.3,103860.8,105130,103023.2,102616.6,104732.1,104015,104795.2,104313.9,103376.6,..,..
Jordan,JOR,Scientific and technical journal articles,IP.JRN.ARTC.SC,742.2,790,949.5,1138.9,1312.6,1406.8,1510.4,1524.5,1514.2,1504.3,..,..
Kazakhstan,KAZ,Scientific and technical journal articles,IP.JRN.ARTC.SC,194.6,229,209.9,206.7,217.1,265.5,315.3,376.4,509.9,879,..,..
Kenya,KEN,Scientific and technical journal articles,IP.JRN.ARTC.SC,435,452.6,487.9,575.1,617.1,692.7,733,840.2,765,871.6,..,..
Kiribati,KIR,Scientific and technical journal articles,IP.JRN.ARTC.SC,0,0,0.4,1.8,0,0.3,0.3,0,0,1.1,..,..
"Korea, Dem. People’s Rep.",PRK,Scientific and technical journal articles,IP.JRN.ARTC.SC,73.4,89,125.4,85.9,32.5,76.9,12.2,15.4,22.2,45.3,..,..
"Korea, Rep.",KOR,Scientific and technical journal articles,IP.JRN.ARTC.SC,26740.1,30925.9,36030.3,40199.8,43095.2,44684.1,49539.1,53821.3,56897,58844.1,..,..
Kosovo,XKX,Scientific and technical journal articles,IP.JRN.ARTC.SC,6.7,12.8,25.5,32.5,51.6,95.3,126.8,109.2,119.7,124.3,..,..
Kuwait,KWT,Scientific and technical journal articles,IP.JRN.ARTC.SC,538.8,610.2,658.9,711.4,748.7,782.9,740.9,798.7,820.8,843.8,..,..
Kyrgyz Republic,KGZ,Scientific and technical journal articles,IP.JRN.ARTC.SC,27.2,42.9,49.5,37.6,50.4,35.4,34.7,46.2,51.3,60.4,..,..
Lao PDR,LAO,Scientific and technical journal articles,IP.JRN.ARTC.SC,37,22.6,42.8,26.2,35,40,43.7,48.2,60.4,69,..,..
Late-demographic dividend,LTE,Scientific and technical journal articles,IP.JRN.ARTC.SC,194820.544672432,256864.326255379,292562.477627722,327951.490066549,378029.337969902,429895.099508228,470402.097378907,531192.710668609,563347.681510268,603191.080639039,..,..
Latin America & Caribbean,LCN,Scientific and technical journal articles,IP.JRN.ARTC.SC,37270.7407151071,42046.5202031287,51035.0857927742,54848.2968233942,62602.9032663009,68089.3923543523,72200.3648693409,76930.9135024896,83281.0825782636,85553.5467314228,..,..
Latin America & Caribbean (excluding high income),LAC,Scientific and technical journal articles,IP.JRN.ARTC.SC,34272.0231802,38670.7315103656,47064.9639544001,50436.7473413143,57663.5980096492,62748.2623683319,66742.1,70908.6,76720.9,78966.9,..,..
