name,id,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015
Afghanistan,AFG,0.383742856,0.609975301,0.964169781,1.287792643,1.531646932,2.300990369,2.463293515,2.290036916,2.211204172,2.340217032,2.397348601,2.252595017
Albania,ALB,9.670207822,11.66806544,13.76968007,18.48652355,23.28914326,23.72983753,23.81053625,23.84944128,23.85583415,23.33832823,21.9534481,21.92631899
Algeria,DZA,4.705703478,4.699968863,4.924535018,5.042655973,5.219316512,5.151120913,5.042409599,5.169091757,5.214273041,5.207694023,5.205249424,5.252907567
Angola,AGO,2.004155282,2.482357264,3.757058013,4.321089809,5.21178604,5.855446351,8.334850482,9.427912178,10.18058817,11.43549413,11.47644278,11.74908445
Arab World,ARB,8.778687251,8.769542767,10.51188835,9.950839714,10.48056416,10.78658909,10.77116888,10.91351063,10.97407574,10.32249529,11.41644789,10.97055497
Argentina,ARG,13.39991115,13.17815088,13.18194661,13.12219649,13.0525168,12.9167885,12.92963337,13.0400515,13.13703153,13.17432509,13.16768541,13.20883895
Armenia,ARM,10.79247479,12.23153792,13.58245249,15.66521109,17.11817445,17.54743011,18.25486853,19.48671242,20.58837749,20.88075521,21.6760494,22.20923864
Australia,AUS,30.67274532,30.63223568,31.24217971,31.67888051,31.57868548,31.23159723,30.7497793,30.36532513,30.21500833,29.53904106,29.17649107,28.72061416
Austria,AUT,13.93068147,13.32375506,13.03832013,12.88358263,12.58602451,11.76651469,11.28781211,15.10628522,15.98662845,15.56021349,14.85952515,13.8609601
Azerbaijan,AZE,6.497233046,6.732139307,7.305556875,8.176049077,9.155820795,9.7628737,9.849033336,9.960017048,9.640218713,10.12595792,10.72117381,10.52294443
Bangladesh,BGD,6.941277123,6.888927837,6.920320861,6.955732823,7.005030822,7.217129213,7.470900052,7.672721987,7.870271336,8.038251383,8.224125251,8.370654408
Belarus,BLR,6.097254959,5.800895659,5.56969404,4.876906368,4.390226737,3.667541499,3.192628727,2.096960242,1.705657465,1.561573244,1.201861788,0.889230504
Belgium,BEL,57.21156697,53.68744752,53.43484529,51.3743789,49.67338444,47.93233928,44.99761868,43.40484818,42.3978982,41.31952876,39.75599189,38.52383169
Belize,BLZ,25.69987329,25.44853035,23.42168513,26.34479421,26.96200431,26.02198858,25.14190672,24.29690822,23.52164217,24.10969473,23.37292565,21.01506904
Benin,BEN,0.936959106,1.079352688,1.597120923,1.975652552,2.366614429,2.72961177,2.936515326,3.152334114,3.142820776,3.215457483,3.312924407,3.257553114
Bhutan,BTN,14.37446705,13.74922806,13.24310068,12.80254141,12.83470167,12.87469448,14.30285501,16.27124948,12.46569573,16.03343801,15.49214584,15.35285087
Bolivia,BOL,4.477602695,5.101187678,5.729520008,5.915019672,6.283791533,6.90121425,8.598318218,9.298542695,9.710566099,11.48429623,15.05369882,15.32080735
Bosnia and Herzegovina,BIH,16.96619708,26.4696891,27.19987876,30.59573611,32.62387645,31.00081791,30.06994011,30.58582394,29.90823568,30.24108374,30.75906642,27.91191848
Botswana,BWA,6.637732959,6.320933768,6.644749797,7.577742906,8.457550401,8.389758203,8.689372459,8.264121317,8.276815666,8.426311566,8.57051742,7.929631669
Brazil,BRA,16.96619708,18.19002382,18.08812062,18.15793094,18.79731782,18.70915699,18.21016973,18.75018384,20.02191738,20.22941426,21.04841074,20.67254561
Brunei Darussalam,BRN,21.15722166,25.98117129,23.15169213,22.60002333,22.77377458,23.29891817,22.79927451,22.61066758,22.14435514,22.35721723,19.7394394,20.28291595
Bulgaria,BGR,84.21787242,84.58661908,83.39393039,88.29307512,92.30452079,92.2784638,91.93114316,60.03512453,61.34468644,60.72502955,60.44295596,60.36281144
Burkina Faso,BFA,1.164196725,1.295034115,1.216540243,1.507439147,1.676863351,1.833574446,1.94231723,2.114488091,2.160457032,2.340917074,18.33791077,2.709425391
Burundi,BDI,1.448627679,1.476323235,1.591560133,1.696313275,1.731129165,1.880560141,2.094458177,2.286821578,2.483816164,2.943002813,2.872420604,2.900844437
Cabo Verde,CPV,16.08054254,16.26875991,18.10425417,21.18589661,25.72831527,28.22414883,31.1822573,30.63544993,34.37806044,34.26500156,33.89990636,33.86405222
Cameroon,CMR,0.469538391,0.980749667,1.059904451,1.104977446,1.191617995,1.281116894,1.656396437,1.703075897,1.802357386,1.925988676,1.948568531,18.21139794
Caribbean small states,CSS,9.913674148,9.720645644,9.790616627,9.867175249,9.956858509,9.787827015,9.956354464,9.430905557,9.452600593,9.213393663,9.329057518,9.208904171
Central Europe and the Baltics,CEB,25.86993411,26.1035634,27.77735197,29.82600147,32.63386236,32.82941135,32.08812562,32.621624,29.89784607,29.25497173,29.34794803,28.45368945
Chad,TCD,0.38472426,0.37052248,0.358182462,0.364376976,0.492727084,0.560408942,0.622124923,0.679792673,0.655581645,0.852050783,0.9763077,0.994720758
Chile,CHL,12.54212341,13.11755622,13.85657408,14.94078233,15.39000607,16.95606262,17.3589096,17.24668551,17.09353093,16.93132548,16.71901327,16.01295996
Comoros,COM,0.57724889,0.560294715,0.544502162,1.058551108,1.029163933,1.250847449,1.216269798,2.130782708,2.303972279,2.466257119,2.836464718,2.760518638
