id,name,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014
AFG,Afghanistan,8781610175,9762978844,10305228125,11721187594,12144482858,14697331941,15936800636,16911126453,19352203806,19731337261,19990317161
ALB,Albania,8766856445,9268392518,9771760096,10348293942,11127520474,11500292411,11926953259,12231090568,12404772054,12542465022,12768229393
DZA,Algeria,1.34E+11,1.42E+11,1.45E+11,1.50E+11,1.53E+11,1.56E+11,1.61E+11,1.66E+11,1.71E+11,1.76E+11,1.83E+11
ASM,American Samoa,631823788.5,629286343.6,603066079.3,614907489,598837004.4,573462555.1,576000000,577691630,552317180.6,534555066.1,542167400.9
AND,Andorra,3562932178,3842255533,4018434883,4021570844,3675946750,3535599617,3346516556,3185794241,3129723933,3127736111,2.55E+12
AGO,Angola,39087976314,46226007691,55811028115,68420444001,77874196512,79753199398,82470913121,85702615836,90120963241,96261432368,1.01E+11
ATG,Antigua and Barbuda,1070851866,1138179361,1283922782,1403194258,1403863251,1234900517,1147942222,1127700867,1170976047,1168633021,1222422784
ARB,Arab World,1.61E+12,1.70E+12,1.81E+12,1.89E+12,2.00E+12,2.01E+12,2.11E+12,2.18E+12,2.30E+12,2.38E+12,2.45E+12
ARG,Argentina,3.06E+11,3.34E+11,3.60E+11,3.93E+11,4.09E+11,3.85E+11,4.24E+11,4.49E+11,4.44E+11,4.55E+11,4.44E+11
ARM,Armenia,6734033975,7667755682,8679746346,9873142201,10554389013,9060944166,9260284938,9695518330,10393595650,10736584306,11123101342
AUS,Australia,9.62E+11,9.93E+11,1.02E+12,1.06E+12,1.10E+12,1.12E+12,1.14E+12,1.17E+12,1.21E+12,1.24E+12,1.28E+12
AUT,Austria,3.58E+11,3.66E+11,3.78E+11,3.92E+11,3.98E+11,3.83E+11,3.90E+11,4.01E+11,4.04E+11,4.05E+11,4.07E+11
AZE,Azerbaijan,19581710093,24751281716,33290473787,41629404407,46113899019,50453518393,52902703376,52937578302,54102205125,57238335961,58383102680
BHS,"Bahamas, The",7739929850,8002723121,8204140766,8322815484,8129378906,7789496094,7910000000,7958407552,8203535156,8204565104,8161307292
BHR,Bahrain,18376546950,19620444334,20889606053,22621864900,24034629396,24645054296,25713271277,26223377132,27202099524,28675502255,29922841391
BGD,Bangladesh,80592852042,85860356478,91588846354,98053769823,1.04E+11,1.09E+11,1.15E+11,1.23E+11,1.31E+11,1.39E+11,1.47E+11
BRB,Barbados,4117827551,4281098360,4523776312,4603588593,4621819825,4435050984,4446800000,4480426494,4493796064,4490554956,4493390926
BLR,Belarus,36792194012,40250660249,44275726274,48083438734,52987949485,53093925384,57231904543,60404676195,61450517457,62079761418,63149449098
BEL,Belgium,4.42E+11,4.51E+11,4.63E+11,4.78E+11,4.82E+11,4.71E+11,4.84E+11,4.92E+11,4.93E+11,4.93E+11,5.01E+11
BLZ,Belize,1199103461,1230025246,1286391895,1300597659,1342587389,1352161618,1397113450,1426508030,1481068378,1500530789,1561767961
BEN,Benin,5675602454,5772744796,6000595826,6359822427,6671033591,6825749998,6970240895,7176751732,7521973830,8063036668,8575645914
BMU,Bermuda,5528385008,5620941625,5932559093,6101393206,6194616021,5867281537,5744414000,5552579616,5284137924,5151445060,2.55E+12
BTN,Bhutan,940813179.5,1007823159,1076852656,1269887377,1330440106,1419010481,1585472534,1710580807,1797336501,1835844374,1941321989
BOL,Bolivia,15031978202,15696607066,16449574692,17200380150,18257962323,18870882348,19649631308,20672216340,21731104040,23207952414,24475238844
BIH,Bosnia and Herzegovina,13720462044,14922131713,15724715108,16625545812,17536876414,17033588881,17164279813,17320174037,17158544322,17569352814,17759431367
BWA,Botswana,9785089873,10230961746,11086666195,12004283365,12754003367,11778027466,12786654366,13560031676,14164289363,15771004794,16425383641
BRA,Brazil,1.72E+12,1.77E+12,1.85E+12,1.96E+12,2.06E+12,2.05E+12,2.21E+12,2.30E+12,2.34E+12,2.41E+12,2.42E+12
BRN,Brunei Darussalam,13213206307,13264408434,13847739934,13869146021,13600124166,13360145141,13707370737,14220755409,14350568390,14045471214,13715438210
BGR,Bulgaria,40553482000,43488010218,46424813785,49988081047,52810910666,50582434410,50610031136,51579222347,51595182819,52039981143,52731514288
BFA,Burkina Faso,6144638535,6676878621,7094394431,7495582799,8042347948,8280563450,8979966766,9565619495,10182857809,10469470948,10907717217
BDI,Burundi,1612571959,1627085107,1714698066,1796760634,1887463245,1952928500,2026864469,2111823041,2196704928,2297622744,2404713060
CPV,Cabo Verde,1171578994,1252563900,1352565476,1557758965,1661358044,1640251720,1664310770,1730365372,1749086512,1763128136,1773904599
KHM,Cambodia,7186162900,8138335730,9014922681,9935578323,10600425244,10609615491,11242275199,12037055708,12917367180,13876856310,14858161722
CMR,Cameroon,20005170990,20464660331,21124441591,21812182535,22441255964,22874787500,23622483984,24600594629,25729451636,27160443493,28770233462
CAN,Canada,1.48E+12,1.52E+12,1.56E+12,1.60E+12,1.61E+12,1.57E+12,1.61E+12,1.66E+12,1.69E+12,1.74E+12,1.78E+12
CSS,Caribbean small states,53530042022,55521767195,59324629678,61238104829,62108106410,59919102492,60772694300,61426893776,62197518533,63222994398,63513557488
CAF,Central African Republic,1678907492,1694155506,1774985113,1856768170,1894908620,1927297142,1986014846,2051567618,2135944447,1352053851,1366115455
