name,id,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014
Afghanistan,AFG,0.10580903,1.224148084,2.107123645,1.9,1.84,3.55,4,5,5.454545455,5.9,7
Albania,ALB,2.420387798,6.043890864,9.609991316,15.03611541,23.86,41.2,45,49,54.65595904,57.2,60.1
Algeria,DZA,4.634475088,5.843942092,7.375984956,9.451190626,10.18,11.23,12.5,14.9,18.2,22.5,29.5
Andorra,AND,26.83795439,37.60576622,48.936847,70.87,70.04,78.53,81,81,86.43442462,94,95.9
Angola,AGO,0.464814618,1.143366827,1.5,1.7,1.9,2.3,2.8,3.1,6.5,8.9,10.2
Antigua and Barbuda,ATG,24.26654372,27,30,34,38,42,47,52,58,63.4,67.78
Arab World,ARB,7.006812461,8.393141725,11.65464792,14.20590224,18.59353118,21.5453539,24.5357799,26.64546408,30.27449059,32.98467854,36.48301358
Argentina,ARG,16.03668411,17.72058337,20.9272021,25.94663294,28.11262348,34,45,51,55.8,59.9,64.7
Armenia,ARM,4.899008571,5.252983352,5.631787777,6.021253397,6.21,15.3,25,32,37.5,41.9,54.62280586
Aruba,ABW,23,25.4,28,30.9,52,58,62,69,74,78.9,83.78
Australia,AUS,17.65803592,63,66,69.45,71.67,74.25,76,79.48769771,79,83.45349717,84
Austria,AUT,54.28,58,63.6,69.37,72.87,73.45,75.17,78.7399931,80.02999392,80.6188,80.99582496
Azerbaijan,AZE,17.65803592,8.030375356,11.99217733,14.54,17.08,27.4,46,50,54.2,73.00000137,75.00001564
"Bahamas, The",BHS,22,25,26,27,31.54,33.88,43,65,71.74820281,72,76.92
Bahrain,BHR,21.45868051,21.30373351,28.24395243,32.91,51.95,53,55,76.9999665,88,90.0000397,90.50313348
Bangladesh,BGD,0.199036334,0.241637326,1,1.8,2.5,3.1,3.7,4.5,5,6.63,13.9
Barbados,BRB,49.8,52.5,55.3,58.2,61.4,64.7,65.1,66.5,71.2,71.8,75.16
Belgium,BEL,53.86,55.82,59.72,64.44,66,70,75,81.609996,80.71999055,82.1702,85
Belize,BLZ,9.8,17,24,24.6,26.3,27.2,28.2,30.7,31,33.6,38.7
Benin,BEN,1.182540965,1.271031439,1.537854346,1.79,1.85,2.24,3.13,4.148323066,4.5,4.9,6
Bermuda,BMU,60.99086701,65.44706579,69.89965516,74.35059403,82.3,83.25,84.21,88.336,91.29930452,95.3,96.8
Bhutan,BTN,3.156984196,3.847106745,4.518317258,5.92,6.55,7.17,13.6,14.4,15.6,22.4,30.3
Bolivia,BOL,4.439924601,5.227583957,6.200671255,10.49924432,12.5,16.8,22.4,30,35.34,36.99,34.6
Bosnia and Herzegovina,BIH,15.46897162,21.326701,25.12238569,27.92,34.66,37.74,42.75,47.77,52.78,57.79,60.8
