name,id,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014
Afghanistan,AFG,6478539,6795212,6982165,7139660,7292595,7474251,7707349,8050184,8458402,8916157,9397624
Albania,ALB,1302765,1284116,1270016,1254859,1239840,1225724,1216574,1209673,1202142,1193017,1182427
Algeria,DZA,9809718,10030999,10241470,10444923,10643942,10842037,11115092,11334795,11571668,12036382,12216573
Angola,AGO,6902459,7120373,7320251,7525025,7767322,8073712,8394741,8697734,9020219,9359059,9720079
Arab World,ARB,95013514,98398064,100895201,104904478,108675547,112134034,116182200,119451590,122745301,126271217,129253735
Argentina,ARG,17523093,17785280,18010680,18074237,18145797,18472750,18478554,18592982,18887510,19220374,19542348
Armenia,ARM,1340518,1349111,1353064,1356386,1363391,1376394,1427010,1460214,1455333,1464171,1471158
Australia,AUS,10242433,10552172,10801785,10970722,11257550,11489734,11693952,11868407,12023138,12192397,12338969
Austria,AUT,3998012,4076456,4153660,4239270,4277580,4313061,4316715,4350847,4398901,4433263,4414374
Azerbaijan,AZE,3832902,3920144,3999776,4085717,4278957,4444371,4506590,4552419,4627589,4702039,4762901
"Bahamas, The",BHS,171511,177729,183382,189146,195130,201359,207346,211459,215934,220332,224101
Bahrain,BHR,401655,441442,490250,545096,602406,656695,702530,717703,723905,726459,733548
Bangladesh,BGD,61785608,62471582,62943612,63342123,63688571,64016262,64352482,65536644,66746410,67995984,69307791
Barbados,BRB,150313,150988,151471,151929,152304,152486,152253,153327,151586,152219,152055
Belarus,BLR,4853919,4865287,4865944,4874617,4886611,4899857,4891827,4874930,4863541,4854449,4844217
Belgium,BEL,4523771,4634460,4652143,4738039,4779436,4799884,4898271,4880506,4920388,4975992,4989495
Belize,BLZ,105868,110301,115743,121359,127121,132990,138930,145439,151973,157910,163926
Benin,BEN,3094328,3198020,3292312,3387968,3485706,3586891,3692117,3807498,3927312,4052688,4183217
Bhutan,BTN,292458,307646,319692,330341,339747,348242,351979,354540,350616,361773,369242
Bolivia,BOL,4003442,4107007,4227460,4347511,4467718,4588898,4684572,4776596,4908948,5043424,5180836
Bosnia and Herzegovina,BIH,1378683,1397566,1397759,1435577,1464853,1457502,1472214,1448831,1451710,1426199,1407582
Botswana,BWA,893195,916177,938517,961666,986051,1012154,1037023,1062065,1087484,1112901,1138670
Brazil,BRA,92735060,95550599,96906935,98039556,99948858,101720628,101716804,101600638,102939910,103961886,105818575
Brunei Darussalam,BRN,172612,176244,178499,180975,183654,186511,189509,192391,194864,197026,199025
Bulgaria,BGR,3384018,3325503,3434495,3510714,3579073,3506935,3420680,3343397,3353034,3377282,3369458
Burkina Faso,BFA,5807953,5993351,6173763,6368978,6573011,6790667,7013666,7235968,7466545,7712511,7968472
Burundi,BDI,3203526,3339109,3474490,3615599,3760980,3909589,4060139,4185677,4314842,4447067,4581966
Cabo Verde,CPV,182599,189127,195494,201705,207812,213910,220082,225983,232111,238345,244562
Cambodia,KHM,6545214,6759846,6986962,7212563,7256715,7674980,8102427,8325418,8191705,8257154,8415376
Cameroon,CMR,6881178,7142736,7398866,7671311,7957074,8253292,8558485,8802818,9056829,9319128,9593390
Canada,CAN,17585206,17727585,17916072,18281265,18602892,18719423,18920617,19067472,19284294,19507017,19616661
Caribbean small states,CSS,2910247,2963143,3008510,3051564,3096881,3091596,3113754,3152259,3200118,3269849,3310641
Central African Republic,CAF,1818992,1853548,1879750,1907330,1935898,1959716,1979691,1979873,1974923,1985606,1986220
Central Europe and the Baltics,CEB,49138536,48947140,49119641,49091311,49248825,49327945,49362939,49104963,49375977,49459295,49922116
Chad,TCD,3545472,3679536,3805186,3936279,4074420,4221343,4377968,4534713,4702446,4879818,5065303
Channel Islands,CHI,76450,77136,77537,78078,79228,80867,80395,80029,80656,81019,80931
Chile,CHL,6546462,6731819,6928359,7115631,7401091,7504723,7963575,8237552,8344377,8487027,8655459
China,CHN,762426576,767603718,771175145,774410172,777009887,778575719,778967720,784390231,789130421,793347524,796905370
Colombia,COL,20241015,20525582,20306985,20481070,21051961,22256460,22837934,23282097,23858717,24179129,24662611
Comoros,COM,189437,195825,202231,208889,215784,222895,230209,237206,244430,251838,259423
"Congo, Dem. Rep.",COD,20723881,21358718,21971035,22627574,23325554,24072405,24839237,25591550,26389430,27225727,28103944
"Congo, Rep.",COG,1455892,1508671,1560138,1618250,1675660,1732445,1787399,1831509,1874224,1916970,1959888
Costa Rica,CRI,1801534,1905652,1945948,2013590,2034702,2063740,2074923,2162229,2182008,2227127,2264503
Cote d'Ivoire,CIV,6733266,6859586,7005870,7161658,7328678,7508619,7701426,7906993,8128729,8364604,8611684
Croatia,HRV,1995958,1994995,1979486,1988421,1984687,1972743,1949140,1870201,1856946,1839625,1890555
Cuba,CUB,4704573,4800092,4893487,5023218,5102578,5268224,5212161,5280307,5301660,5318220,5330127
Cyprus,CYP,511176,521179,535140,550163,561399,573764,588343,589549,594353,598898,608774
Czech Republic,CZE,5145201,5183408,5188904,5188634,5208507,5252976,5245068,5234584,5270692,5322380,5321813
Denmark,DNK,2906097,2900837,2931529,2931143,2963054,2952715,2930051,2929229,2913576,2897070,2909860
Djibouti,DJI,233900,241434,249106,257238,265755,274656,283864,293044,302431,311760,321072
Dominican Republic,DOM,3884470,3983904,4084620,4186177,4177813,4163546,4333627,4495580,4583079,4673363,4739299
Early-demographic dividend,EAR,1067010878,1094431376,1109722730,1124114786,1138601542,1153843961,1170147150,1188091023,1207094263,1229556080,1252532363
East Asia & Pacific,EAS,1170029281,1180347170,1189454781,1199294652,1207906275,1215581029,1222870581,1234123957,1243736820,1253035738,1261707491
East Asia & Pacific (excluding high income),EAP,1050476950,1060037141,1068198135,1076835966,1084703189,1092095749,1098393778,1109914959,1118956043,1127212615,1135192103
East Asia & Pacific (IDA & IBRD countries),TEA,1035972282,1045409834,1053467206,1061993216,1069726553,1076973293,1083165347,1094573059,1103493987,1111638728,1119498297
Ecuador,ECU,6414371,6457707,6723335,6675980,6715419,6828063,6737318,6821532,6919197,7025914,7204757
"Egypt, Arab Rep.",EGY,23354631,24475125,24532397,25700108,26496654,27270653,28054987,28426354,29060294,29768142,30307193
El Salvador,SLV,2336130,2381610,2436298,2487551,2531667,2556417,2583035,2634493,2689531,2749993,2800584
