name,id,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014
Afghanistan,AFG,57.89121951,58.51558537,59.12595122,59.70885366,60.25673171,60.76460976,61.23546341,61.6742439,62.09297561,62.50160976,62.90268293
Albania,ALB,75.15709756,75.35702439,75.5612439,75.79492683,76.07265854,76.39487805,76.74790244,77.10846341,77.44826829,77.74709756,77.99839024
Algeria,DZA,72.27582927,72.76141463,73.21956098,73.64270732,74.02531707,74.36785366,74.66978049,74.93756098,75.18119512,75.41217073,75.63502439
Angola,AGO,51.63285366,52.78770732,53.92712195,55.0475122,56.13929268,57.181,58.14112195,58.9912439,59.71843902,60.3217561,60.80673171
Antigua and Barbuda,ATG,74.22614634,74.42543902,74.61914634,74.80473171,74.98219512,75.15153659,75.31329268,75.46953659,75.62180488,75.77365854,75.92409756
Arab World,ARB,68.69853756,68.95180524,69.20331866,69.44569144,69.6716377,69.87929924,70.07136083,70.25569431,70.44067505,70.63137828,70.82758949
Argentina,ARG,74.51878049,74.68831707,74.85141463,75.01156098,75.17129268,75.33109756,75.49202439,75.65356098,75.8147561,75.97456098,76.134
Armenia,ARM,72.28473171,72.39878049,72.4912439,72.5932439,72.72590244,72.8987561,73.10929268,73.34597561,73.58621951,73.81192683,74.01958537
Aruba,ABW,74.07190244,74.19990244,74.33882927,74.4827561,74.62768293,74.77114634,74.91063415,75.04765854,75.18319512,75.31973171,75.45678049
Australia,AUS,80.4902439,80.84146341,81.04146341,81.29268293,81.39512195,81.54390244,81.69512195,81.89512195,82.04634146,82.14878049,82.3
Austria,AUT,79.1804878,79.33170732,79.8804878,80.1804878,80.43170732,80.33170732,80.5804878,80.98292683,80.93658537,81.13658537,81.4902439
Azerbaijan,AZE,68.17343902,68.67709756,69.19904878,69.70621951,70.171,70.5784878,70.91860976,71.18963415,71.40568293,71.58141463,71.7247561
"Bahamas, The",BHS,73.39465854,73.63936585,73.85946341,74.06146341,74.25095122,74.42841463,74.59690244,74.75792683,74.91397561,75.06653659,75.21763415
Bahrain,BHR,75.24536585,75.40717073,75.56339024,75.71456098,75.86326829,76.01002439,76.15531707,76.29963415,76.44295122,76.58521951,76.72546341
Bangladesh,BGD,67.46260976,67.94129268,68.41026829,68.87390244,69.33368293,69.79117073,70.24204878,70.68056098,71.10090244,71.4977561,71.87165854
Barbados,BRB,73.86802439,74.03034146,74.19363415,74.35741463,74.52170732,74.6854878,74.84880488,75.01014634,75.17002439,75.32795122,75.48390244
Belarus,BLR,68.95609756,68.85121951,69.40487805,70.20731707,70.45609756,70.40731707,70.40487805,70.55365854,71.96585366,72.47073171,72.97073171
Belgium,BEL,78.87804878,78.9804878,79.3804878,79.78292683,79.6804878,79.98292683,80.18292683,80.58536585,80.38536585,80.58780488,81.28780488
Belize,BLZ,68.88482927,69.08536585,69.27597561,69.4434878,69.57970732,69.68356098,69.76202439,69.83017073,69.90865854,70.01307317,70.1475122
Benin,BEN,56.81492683,57.28560976,57.74912195,58.18897561,58.59070732,58.94680488,59.25926829,59.53660976,59.79785366,60.0565122,60.31812195
Bhutan,BTN,64.11470732,64.86965854,65.56521951,66.20039024,66.77765854,67.2994878,67.77429268,68.21095122,68.62490244,69.02507317,69.41797561
Bolivia,BOL,62.96863415,63.53978049,64.11495122,64.69363415,65.27282927,65.84656098,66.40580488,66.94160976,67.44695122,67.91736585,68.35031707
Bosnia and Herzegovina,BIH,74.95597561,75.08753659,75.22295122,75.3595122,75.498,75.64141463,75.79373171,75.95346341,76.12014634,76.29034146,76.46356098
