name,id,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014
Afghanistan,AFG,2.498055472,4.826865367,9.833164022,17.71624331,29.22037376,37.89493697,45.77817474,60.32631999,65.45219346,70.66135885,74.88284241
Albania,ALB,39.16395669,47.87802749,60.06734238,73.35038415,58.91235149,78.1845877,85.468247,98.29153459,110.6865316,116.1572081,105.4699657
Algeria,DZA,14.59120666,40.22671305,60.85091077,78.53288666,75.6646235,89.95836607,88.44487548,94.31443964,97.52089467,100.7877205,93.31075022
Andorra,AND,73.82494308,79.48487497,84.27763597,78.1171579,80.2836099,82.06181111,84.06818386,83.53432222,81.50204186,80.70261809,82.64319489
Angola,AGO,4.63174063,9.738161173,17.83989624,28.01098233,36.98368954,42.84657348,48.10120904,59.82618856,61.40627578,61.87329711,63.4792082
Antigua and Barbuda,ATG,66.08091241,104.1603585,132.0006709,133.1575767,160.0393678,156.3441483,192.5532769,199.6642164,143.0138432,127.0856254,120.0180412
Arab World,ARB,16.83769437,26.79003996,38.84567204,52.5371804,62.92096882,76.15636661,87.62881811,98.87331388,105.0371746,110.0126103,109.1522643
Argentina,ARG,35.27228837,57.32899426,80.81882641,102.7215283,117.2211834,131.1294492,141.383022,149.0906224,156.564756,162.5274217,158.735762
Armenia,ARM,6.719510373,10.54901346,41.95135986,62.7586975,48.43008603,73.83377008,130.4322327,108.336201,111.9146632,112.4206552,115.9232102
Aruba,ABW,99.64250268,103.3849507,108.1325002,112.2180618,119.2038996,126.2103374,129.72824,94.91798075,131.8565401,134.873823,135.0658893
Australia,AUS,81.50958522,89.76286231,94.70140374,100.0646043,102.1940537,100.7390114,100.4263074,104.610551,105.585695,106.8434974,131.2305468
Austria,AUT,97.54481697,105.1755856,112.124675,119.2569828,129.6551516,136.57901,145.6928199,154.426039,160.5397387,156.2304116,151.9112515
Azerbaijan,AZE,17.20615651,26.18119583,38.35542641,51.52721935,73.75810024,86.32194952,100.0593201,109.9720704,108.7683381,107.6134072,110.9053634
"Bahamas, The",BHS,57.69447891,69.21279415,75.37855087,109.340767,102.7875065,101.2186453,118.8292307,81.5628489,80.65383375,76.05187427,71.43772006
Bahrain,BHR,79.19074229,87.21698081,95.42373897,108.1005238,129.0979339,117.6607732,125.2084477,131.009991,161.1670576,165.9088811,173.2739335
Bangladesh,BGD,1.969454675,6.28776238,13.20573922,23.46762823,30.16828408,34.35334451,44.94535882,55.19256723,62.82023906,74.42964608,75.92489163
Barbados,BRB,73.5247332,75.37065739,86.2492407,93.23830793,103.972136,120.8077962,124.8452189,123.4606322,123.3298378,108.1027529,106.7781561
Belarus,BLR,23.03795343,42.41718896,61.95195003,72.61067076,85.05828031,101.6840082,108.8697059,113.1688625,113.5179254,118.786176,122.5011386
Belgium,BEL,87.46025396,91.40294897,93.00741585,100.5624899,105.283158,108.4032585,111.0841886,113.5309512,111.3315482,110.9031799,114.2699575
Belize,BLZ,28.29761545,35.30450132,42.2961808,41.34020042,54.51721037,53.74564807,62.93070205,70.31965347,53.20712214,52.61072612,50.712566
Benin,BEN,5.797473518,7.28722342,12.50317546,23.56334604,40.40173435,54.46885832,74.39604921,79.40049868,83.65431589,93.25782193,101.7110697
Bermuda,BMU,76.66911799,82.19904267,93.41436498,106.9568452,122.1643187,131.1485527,135.794676,94.91798075,139.5363101,144.3197992,90.88006599
Bhutan,BTN,3.019121524,5.53491068,12.33202317,21.99686472,36.61427504,48.10756491,54.99993723,66.37918152,75.6097824,72.19831102,82.07006186
Bolivia,BOL,19.60018982,25.88431131,30.21985533,33.63225131,51.23601575,64.68655431,70.68598048,80.90771949,90.44349501,97.69945273,96.33724828
Bosnia and Herzegovina,BIH,36.21150774,41.09375467,48.7159617,63.34032541,82.33282857,84.52795238,80.87078571,82.60007887,87.57471473,91.09530785,91.27895029
Botswana,BWA,28.18941102,30.05546952,43.41214719,60.13830503,76.83593118,96.02329234,120.0102471,145.9838697,153.7856491,160.6410528,167.2975939
Brazil,BRA,35.65289881,46.31418452,53.11025849,63.67475185,78.5549801,87.54187651,100.8810115,119.0023853,125.0018521,135.3050481,138.9514906
Brunei Darussalam,BRN,56.11299429,63.31987548,80.4383275,95.9883599,102.793692,104.6861055,108.6214859,109.015478,113.9487384,112.2144457,110.0570645
Bulgaria,BGR,61.07153717,81.27954474,108.2720221,130.8646368,138.9755558,140.4048536,138.0389827,142.8461575,148.1311121,145.1876887,137.7065953
Burkina Faso,BFA,3.037679629,4.720290206,7.354840819,13.05253397,20.62907931,25.3304628,36.72938024,48.02719397,60.60765215,66.37728295,71.73746951
Burundi,BDI,1.338877194,1.969012632,2.486764507,3.241953471,5.572453585,10.31456575,18.1747416,20.06827414,22.81446021,24.96258806,30.46201036
Cabo Verde,CPV,13.89003267,17.07319111,22.58745902,31.46741973,57.29277356,59.83377049,76.26543014,80.81218046,86.02531144,100.1124481,121.7897017
Cambodia,KHM,6.551636708,7.95123006,12.70116666,18.79147363,30.39341867,44.31490591,56.74071111,94.18821019,128.5272115,133.8902393,155.1115083
Cameroon,CMR,8.661224693,12.41890525,16.84911141,23.75158108,31.44110653,39.81367836,41.8760103,49.56740015,60.40682443,70.3904685,75.6851331
Canada,CAN,47.06386648,52.75959279,57.49320536,61.47310755,66.20487722,70.54830532,75.676078,77.82549309,79.56833775,80.61008074,82.98444025
Cayman Islands,CYM,71.46028457,166.4747136,185.0217887,197.1887628,185.8047324,200.2745279,181.174224,170.9810781,171.6762203,167.7693163,153.7483538
Central African Republic,CAF,1.540992322,2.524680647,2.728105589,8.278756443,13.61972672,20.24357708,22.51148929,22.37140338,25.26102109,29.46657548,31.3598713
Chad,TCD,1.272630052,2.096977626,4.500299416,8.587287923,14.50506716,20.06204202,24.53167583,30.34478288,35.36487879,35.56437683,39.75097997
Chile,CHL,57.28133939,64.69417543,75.43868865,83.7200337,87.91177733,96.81312008,115.7513836,128.9269073,137.0811793,134.2890529,133.2556288
China,CHN,25.55100154,29.84470593,34.76674887,41.01687431,47.75671627,55.29808341,63.17027802,72.0713209,80.76271455,88.70833462,92.27349082
Colombia,COL,24.45605295,50.59739682,67.88728318,76.27493489,91.61012359,92.04640981,95.76455258,98.13425332,102.8549384,104.0845439,113.0820753
Comoros,COM,1.431185075,2.584009868,5.981418464,9.815151975,14.12941193,18.40512718,24.19595919,30.91017629,39.51356301,47.28425115,50.90120382
"Congo, Dem. Rep.",COD,3.792769423,5.082723491,7.942801654,11.52690544,16.89524742,15.63752578,19.00647586,24.47130767,30.58009217,41.81656407,53.49321638
"Congo, Rep.",COG,11.12402678,15.75537552,25.16003031,34.25590964,46.61451448,73.79715284,90.44274713,91.93909914,98.75682808,104.7695043,108.1495742
Costa Rica,CRI,21.73836456,25.49240416,32.86782699,33.79212704,41.62122844,42.38509644,66.9932126,87.66035275,111.9199133,145.9716479,143.8283795
Cote d'Ivoire,CIV,9.766100444,13.5071853,23.01735374,41.60500652,57.22349848,70.87826244,82.20152116,89.44962943,91.22862939,95.44605196,106.2476093
Croatia,HRV,64.44748808,83.15832573,100.3790937,115.2253076,104.4643435,107.4733846,113.6081449,118.3013547,115.4136047,110.0543067,104.4313214
Cuba,CUB,0.672354824,1.200257384,1.351328632,1.75418261,2.936664083,5.502396795,8.890583462,11.66313248,14.92016162,17.71492741,22.47839584
Cyprus,CYP,64.79829104,75.78090348,82.77911008,92.9655393,94.3969347,89.63535014,93.69258439,97.70992366,98.40043437,96.35942536,96.33531011
Czech Republic,CZE,105.6300232,115.1035371,120.7427007,127.9639191,132.350961,124.5668165,122.5551112,124.0943746,126.8464851,127.7307828,130.0334399
Denmark,DNK,95.70911343,100.5816868,107.1170645,115.3715804,119.3024732,123.6993991,115.669923,128.661526,130.2798977,127.1176716,125.9578234
Djibouti,DJI,4.50288335,5.672656567,5.690729661,8.70663211,13.93013208,15.66875338,19.85681673,22.80161957,24.71558258,27.96586676,32.38686559
Dominica,DMA,59.49235691,73.71494996,101.1458481,125.7150929,128.3805708,138.7402107,148.3370101,152.5524853,152.4747503,129.9598628,127.4519291
Dominican Republic,DOM,27.52205864,38.77928523,48.58664735,57.33593759,73.95219275,87.30861627,88.7787084,86.43207979,86.93709732,88.43350015,78.86382636
East Asia & Pacific,EAS,29.60996318,34.07117549,39.47870679,48.03977794,57.10186039,64.94370914,73.73628786,83.27385712,91.63285375,98.30288327,103.1707229
East Asia & Pacific (excluding high income),EAP,23.56944068,28.14690302,33.79253235,42.56822885,52.38224484,60.65242784,69.92421189,79.87847843,88.68071682,95.71930752,100.4765633
Ecuador,ECU,26.19668978,45.33840899,60.50592352,69.66428675,80.51374955,89.7355484,98.53115831,100.5655994,106.2255329,105.6444776,103.8991648
"Egypt, Arab Rep.",EGY,10.82720009,18.98863599,24.66217297,40.54135052,54.69017202,72.09666743,90.50319174,105.0794228,119.9164442,121.507893,114.3059858
El Salvador,SLV,30.28907507,39.71573336,63.17542366,100.2356543,112.9869326,122.3621667,123.8355503,132.9256445,137.3425261,141.8179045,144.0256764
Equatorial Guinea,GNQ,10.56344638,16.0524014,19.30759738,23.45149761,27.35458379,29.5486008,57.35549085,66.8802619,68.05374469,67.47338887,66.38811096
Eritrea,ERI,0.428676577,0.833074787,1.23129209,1.619011387,2.018352101,2.539273454,3.227135845,4.077954414,4.979397878,5.602975462,6.38599695
Estonia,EST,94.27919527,109.0700258,125.7645616,128.0786178,124.2110004,120.5357013,127.2827876,143.9260625,160.4107755,159.6607033,160.6878485
Ethiopia,ETH,0.209993373,0.539116292,1.107028759,1.5023463,2.36564857,4.775809745,7.869542323,15.80285822,22.37451927,27.25468539,31.59388039
Euro area,EMU,88.89506405,97.87797602,105.8890788,115.870395,121.1330152,120.3230279,116.3810949,119.3281111,120.6252695,121.7574566,121.2458144
Europe & Central Asia,ECS,66.08424517,81.04876938,94.57803511,106.311683,115.0124077,119.4063227,120.258598,120.2849132,122.5181179,125.2369912,126.0535099
Europe & Central Asia (excluding high income),ECA,32.40418409,47.8186852,66.09455667,80.88190942,91.11422125,94.85370053,99.07153857,106.6871066,108.8563761,111.5915022,112.7109831
European Union,EUU,85.94063784,95.79155903,105.012288,115.1562612,120.4838915,120.3930815,118.0482008,120.7642756,122.6103049,123.8563913,123.9117009
Faroe Islands,FRO,84.65827559,85.50562483,101.1150686,105.2770715,110.6026088,114.9052419,119.8967346,118.0097274,118.6159253,120.681639,124.1164577
Fiji,FJI,17.36152235,24.92449701,34.37685675,63.44901555,71.10259987,75.07516314,81.10077287,83.76338399,98.17854865,105.6001544,98.77670015
Finland,FIN,95.40312987,100.450445,107.6347185,114.8847345,128.424569,144.0887946,156.3055115,165.8909009,172.3224293,136.578674,139.6638962
France,FRA,73.01991391,78.26189586,83.53432024,88.98459991,92.67718212,92.09659575,91.38732973,94.0767743,97.37775287,98.49547248,100.3615662
French Polynesia,PYF,38.12383097,47.08024042,58.97621939,67.15560318,71.19146977,78.46706253,80.53643706,82.26223262,82.53778112,85.57567613,85.65761967
Gabon,GAB,36.32676997,53.40403707,63.55598776,80.76618018,87.6694296,95.44779828,103.4556766,148.6936289,179.4714108,214.7500375,210.3671257
"Gambia, The",GMB,12.57243519,17.22725782,27.27777463,52.33214725,73.90036908,80.62692375,87.9633354,80.76025697,85.20375721,99.9766937,119.6304887
Georgia,GEO,18.61778229,26.23972528,38.32379074,58.73630305,62.43820399,64.46125996,90.64792691,101.2829241,107.809112,115.0251043,124.9355401
Germany,DEU,85.06020667,94.55486999,102.2828888,115.1403608,126.5575074,126.2280577,106.4836959,109.6595675,111.5940398,120.9211651,120.4189829
Ghana,GHA,8.135148478,13.44255251,23.72559884,33.75729429,50.0664665,63.77348397,71.86671124,85.27494343,100.9932997,108.1911482,114.8194789
Gibraltar,GIB,63.86998194,68.77579092,75.2342521,81.9000819,88.74931731,97.72098268,102.5535842,111.0655458,118.6735879,103.2232399,129.5380944
Greece,GRC,84.49551267,92.92454872,99.34233967,111.0964206,124.5083602,119.7955893,110.6455185,109.0787779,120.0963016,116.8206478,114.9618849
Greenland,GRL,68.62221128,81.61115306,94.68599034,116.8664308,98.48434054,94.51819901,101.4200828,103.7367994,104.6982584,105.9890852,106.3606466
Grenada,GRD,42.19278165,45.51485658,44.7346504,49.60226285,57.75122195,109.710823,116.4974159,115.018939,123.159182,125.5937373,126.5251216
Guatemala,GTM,25.61697311,35.57138428,55.2407726,89.33491997,109.5274308,123.7220234,125.9831555,132.4516485,137.8194849,140.393535,106.6337703
Guinea,GIN,1.651452655,1.973615991,54.55299168,19.90650512,26.66103586,32.936074,36.7781157,43.54770359,48.76925037,63.31503903,72.09875075
Guinea-Bissau,GNB,2.836587237,6.952089848,10.83048396,19.95658668,32.9718113,36.13019495,42.69221945,45.10659833,63.0692167,55.15072568,63.48369055
Guyana,GUY,22.67765302,36.98152291,52.26250936,69.9336844,57.72160482,62.54783594,71.28590073,66.85662336,68.77901955,69.41295352,70.53891053
Haiti,HTI,4.381193159,5.401215155,12.78140119,26.27785531,33.20103068,37.35732558,40.41873813,41.86242333,59.90841158,69.39885695,64.70745958
Heavily indebted poor countries (HIPC),HPC,4.258430921,6.365272868,10.74220631,16.69967422,24.77048278,30.86748582,37.34786794,45.89839366,51.98971072,58.28493403,64.10237152
High income,HIC,71.38578366,81.92913025,91.82082654,101.3389841,107.852375,113.01856,115.4455851,116.5107243,119.2413356,121.7715904,123.3102048
High income: nonOECD,NOC,53.5990921,76.18565365,95.15917794,111.429801,127.1050148,143.1400134,149.9158692,142.2514049,145.9255784,151.0857236,151.7527243
High income: OECD,OEC,76.64569875,83.62866922,90.83109106,98.33828547,102.1077721,103.9972177,105.0924228,108.7659296,111.1940057,112.9190324,114.7117057
Honduras,HND,10.4578002,18.57507619,31.84055311,58.29729484,84.81834019,112.3283833,124.7187583,103.6720092,92.87017414,95.91916853,93.51563642
"Hong Kong SAR, China",HKG,119.1029016,123.8892854,136.6602462,155.0398371,166.1936237,179.7816019,195.6692192,215.5038098,229.2446254,237.3518775,239.297939
Hungary,HUN,86.25517302,92.31411681,98.89553625,109.6328855,121.6811908,117.5591879,119.9427178,116.9434928,116.070556,116.4278724,118.0538283
Iceland,ISL,98.94191084,95.40447185,100.4087225,106.9324528,108.897393,108.2570649,107.2427541,106.8414418,108.054513,108.1111263,111.0801927
India,IND,4.701852372,7.997206759,14.52388234,20.1553755,29.53103968,44.12009108,62.39006487,73.19803895,69.92238977,70.78318167,74.48376991
Indonesia,IDN,13.70874711,20.89708826,28.01943927,40.43198063,60.01372486,68.9204184,87.79014493,102.4626496,114.218131,125.3581426,126.180597
"Iran, Islamic Rep.",IRN,7.319761151,12.13146655,21.67657012,41.45707252,59.17901883,71.4616386,72.58942289,74.30366228,76.09808684,84.24610052,87.79273111
Iraq,IRQ,2.151945659,5.599581693,33.30009751,48.78540241,59.56201784,66.69344323,75.13766061,80.15512761,81.62784646,96.10477428,94.9127868
Ireland,IRL,94.47377374,102.6935533,110.9801131,115.8530739,116.0047081,106.6677293,105.2358099,108.479355,107.2128919,105.4662101,104.2554956
Israel,ISR,111.6505837,117.4648609,124.3388396,128.454728,126.3854986,124.0341367,122.7836679,121.9782701,120.6843884,122.8478352,121.4506526
Italy,ITA,107.6937662,121.8642226,136.121113,150.962827,150.8856458,149.5058395,154.7970088,158.145883,159.6276155,158.8172931,154.2486564
Jamaica,JAM,68.93370547,73.87598526,84.36418744,99.12039649,100.164076,108.2941099,116.0682988,106.9237357,98.04968759,102.2381648,102.9209275
Japan,JPN,72.15580043,75.98436507,78.51905384,84.35360774,86.70710553,91.31743648,96.80752449,104.2742326,110.9073543,116.3154258,120.2329983
Jordan,JOR,31.89416724,59.88643393,79.99969054,84.36638062,89.88973816,97.2992605,102.5632445,111.1631725,128.1735327,141.7962745,147.804955
Kazakhstan,KAZ,16.42011664,35.83356656,51.0647485,80.03793182,95.77525322,108.3821491,121.867001,156.7946524,185.8215629,184.6947548,168.6229043
