name,id,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014
Afghanistan,AFG,8.5,8.5,8.800000191,8.399999619,8.899999619,8.100000381,8.699999809,8.899999619,8.5,9.199999809,9.100000381
Albania,ALB,12.60000038,12.5,12.39999962,13.5,13,13.80000019,14.19999981,14,13.89999962,16,16.10000038
Algeria,DZA,20.10000038,15.30000019,12.30000019,13.80000019,11.30000019,10.19999981,10,10,11,9.800000191,9.5
Angola,AGO,6.900000095,6.800000191,6.800000191,6.699999809,6.800000191,6.900000095,6.900000095,6.900000095,6.900000095,6.900000095,6.800000191
Arab World,ARB,13.2736272,12.21995647,11.3989498,10.96983093,10.57001615,10.38122219,10.40438864,11.39960562,11.50566864,11.4136812,8.410880994
Argentina,ARG,12.60000038,10.60000038,10.10000038,8.5,7.800000191,8.600000381,7.699999809,7.199999809,7.199999809,7.099999905,8.199999809
Armenia,ARM,33.59999847,27.79999924,28.60000038,28.39999962,16.39999962,18.70000076,19,18.39999962,17.29999924,16.20000076,17.10000038
Australia,AUS,5.400000095,5,4.800000191,4.400000095,4.199999809,5.599999905,5.199999809,5.099999905,5.199999809,5.699999809,6
Austria,AUT,4.900000095,5.199999809,4.699999809,4.400000095,3.799999952,4.800000191,4.400000095,4.099999905,4.300000191,4.900000095,5
Azerbaijan,AZE,8,7.300000191,6.599999905,6.300000191,5.900000095,5.699999809,5.599999905,5.400000095,5.199999809,5,5.199999809
"Bahamas, The",BHS,10.30000019,10.19999981,7.599999905,7.900000095,8.699999809,14.19999981,14.69999981,13.69999981,14,16.20000076,15.39999962
Bahrain,BHR,4.599999905,4.400000095,4.099999905,5.599999905,3.700000048,4,3.599999905,4,3.700000048,3.700000048,3.900000095
Bangladesh,BGD,4.5,4.300000191,4.199999809,4.300000191,4.400000095,5,4.5,4.5,4.5,4.5,4.300000191
Barbados,BRB,9.800000191,9.100000381,8.699999809,7.400000095,8.100000381,10,10.80000019,11.19999981,11.60000038,11.60000038,12
Belarus,BLR,6.5,6.400000095,6.400000095,6.300000191,6.199999809,6.099999905,6.199999809,6.099999905,5.900000095,6,5.900000095
Belgium,BEL,8.399999619,8.399999619,8.199999809,7.5,7,7.900000095,8.300000191,7.099999905,7.5,8.399999619,8.5
Belize,BLZ,10.5,11,9.399999619,8.5,8.199999809,11.19999981,10.80000019,12.30000019,14.39999962,11.69999981,11.5
Benin,BEN,1.299999952,1.299999952,1.100000024,1.100000024,1.100000024,1.200000048,1,1,1,1,1
Bhutan,BTN,2.5,3.099999905,3.099999905,3.700000048,3.799999952,4,3.299999952,3.099999905,2.099999905,2.900000095,2.799999952
Bolivia,BOL,4.300000191,5.400000095,5.300000191,5.199999809,2.900000095,3.400000095,3.299999952,2.700000048,2.700000048,2.599999905,2.700000048
Bosnia and Herzegovina,BIH,28.29999924,26,31.79999924,29.70000076,23.89999962,24.10000038,27.20000076,27.60000038,28.10000038,27.39999962,27.89999962
Botswana,BWA,22.89999962,22,17.60000038,18.5,21.89999962,18.39999962,17.89999962,17.79999924,17.70000076,17.60000038,18.20000076
Brazil,BRA,8.899999619,9.300000191,8.399999619,8.100000381,7.099999905,8.300000191,7.900000095,6.699999809,6.099999905,6.5,6.800000191
Brunei Darussalam,BRN,3.400000095,3.400000095,3.299999952,3.299999952,3.299999952,3.5,3.700000048,3.700000048,3.799999952,3.799999952,3.799999952
Bulgaria,BGR,12,10.10000038,8.899999619,6.900000095,5.599999905,6.800000191,10.19999981,11.30000019,12.30000019,12.89999962,11.60000038
Burkina Faso,BFA,2.799999952,2.700000048,2.299999952,3.299999952,3.299999952,3.299999952,3.299999952,3.299999952,3.299999952,3.299999952,3.099999905
Burundi,BDI,7.300000191,7.300000191,7.199999809,7.199999809,7.199999809,7.099999905,7.099999905,7.099999905,7,7,6.900000095
Cabo Verde,CPV,9.600000381,9.600000381,9.5,9.399999619,9.399999619,9.399999619,9.300000191,9.199999809,9.100000381,9,9.199999809
Cambodia,KHM,1.799999952,1.299999952,0.899999976,0.600000024,0.300000012,0.100000001,0.400000006,0.300000012,0.200000003,0.300000012,0.400000006
Cameroon,CMR,5.099999905,4.400000095,4.099999905,4.099999905,4.199999809,4.5,4.099999905,4.099999905,4.099999905,4.099999905,4.300000191
Canada,CAN,7.199999809,6.699999809,6.300000191,6,6.099999905,8.300000191,8,7.400000095,7.199999809,7.099999905,6.900000095
Central African Republic,CAF,7,7,6.900000095,6.900000095,7,6.900000095,6.900000095,6.900000095,6.900000095,7.400000095,7.400000095
Chad,TCD,6.699999809,7,7.099999905,7.099999905,7.099999905,7,6.900000095,7.099999905,7,7.099999905,7
Chile,CHL,8.800000191,8,7.699999809,7.099999905,7.800000191,9.699999809,8.100000381,7.099999905,6.400000095,6,6.400000095
China,CHN,4.300000191,4.099999905,4,3.799999952,4.400000095,4.400000095,4.199999809,4.300000191,4.5,4.599999905,4.699999809
Colombia,COL,14.30000019,12,11.69999981,11.19999981,11.10000038,11.80000019,12,11.10000038,10.60000038,9.600000381,10.10000038
